Linux 5.15.0-186-generic (lenovo) 	08/27/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:58 PM  1002    103511    2.00    1.00    0.00    0.00    3.00     0   1998.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:14:59 PM  1002    103365   52.00    3.00    0.00    0.00   55.00    14  16146.00      0.00 9182420  811088   2.50  python3
08:14:59 PM  1002    103511    2.00    2.00    0.00    0.00    4.00     0   1997.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:00 PM  1002    103365   81.00    6.00    0.00    0.00   87.00    14  16157.00      0.00 9182392  810596   2.50  python3
08:15:00 PM  1002    103511    3.00    2.00    0.00    0.00    5.00     0   1996.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:01 PM  1002    103365   51.00    3.00    0.00    0.00   54.00    14  15714.00      0.00 9182824  810968   2.50  python3
08:15:01 PM  1002    103511    2.00    1.00    0.00    0.00    3.00     0   1997.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:02 PM  1002    103365   41.00    8.00    0.00    0.00   49.00    14  15715.00      0.00 9179168  807508   2.49  python3
08:15:02 PM  1002    103511    3.00    2.00    0.00    0.00    5.00     0   1996.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:03 PM  1002    103365   42.00    5.00    0.00    0.00   47.00    14  16145.00      0.00 9182420  810868   2.50  python3
08:15:03 PM  1002    103511    2.00    1.00    0.00    0.00    3.00     2   1995.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:04 PM  1002    103365   51.00    1.00    0.00    0.00   52.00    14  16156.00      0.00 9182420  810932   2.50  python3
08:15:04 PM  1002    103511    2.00    2.00    0.00    0.00    4.00     2   1999.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:05 PM  1002    103365   58.00    0.00    0.00    0.00   58.00    14  14694.00      0.00 9182420  810688   2.50  python3
08:15:05 PM  1002    103511    2.00    2.00    0.00    0.00    4.00    14   1995.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:06 PM  1002    103365   55.00    2.00    0.00    0.00   57.00     0  16157.00      0.00 9182420  810752   2.50  python3
08:15:06 PM  1002    103511    2.00    2.00    0.00    0.00    4.00     6   1997.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:07 PM  1002    103365   48.00    7.00    0.00    0.00   55.00     0  15587.00      0.00 9182420  810640   2.50  python3
08:15:07 PM  1002    103511    2.00    2.00    0.00    0.00    4.00    17   1997.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:08 PM  1002    103365   56.00    1.00    0.00    0.00   57.00     0  16155.00      0.00 9182420  810704   2.50  python3
08:15:08 PM  1002    103511    2.00    2.00    0.00    0.00    4.00    14   1996.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:09 PM  1002    103365   67.00    8.00    0.00    0.00   75.00     0  14694.00      0.00 9182420  810700   2.50  python3
08:15:09 PM  1002    103511    3.00    1.00    0.00    0.00    4.00    14   1995.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:10 PM  1002    103365   45.00    7.00    0.00    0.00   52.00    14  14880.00      0.00 9182420  810916   2.50  python3
08:15:10 PM  1002    103511    1.00    2.00    0.00    0.00    3.00    14   1995.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:11 PM  1002    103365   57.00    0.00    0.00    0.00   57.00    14  15588.00      0.00 9182420  811068   2.50  python3
08:15:11 PM  1002    103511    2.00    1.00    0.00    0.00    3.00     2   1995.00      0.00 2072140  170504   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:12 PM  1002    103365   40.00    3.00    0.00    0.00   43.00    14  15077.00      0.00 9182420  810620   2.50  python3
08:15:12 PM  1002    103511    2.00    1.00    0.00    0.00    3.00    18   1996.00      0.00 2072140  170508   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:13 PM  1002    103365   51.00    1.00    0.00    0.00   52.00    14  14694.00      0.00 9182420  810904   2.50  python3
08:15:13 PM  1002    103511    2.00    2.00    0.00    0.00    4.00    18   1995.00      0.00 2072140  170508   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:14 PM  1002    103365   43.00    1.00    0.00    0.00   44.00    10  16155.00      0.00 9182420  810704   2.50  python3
08:15:14 PM  1002    103511    3.00    1.00    0.00    0.00    4.00    12   1995.00      0.00 2072140  170508   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
