time_s,raw_score_array
0.899258,"[1.0, 0.9508067965507507, 1.0, 40.87504577636719, -53.12495422363281, 1.0, 0.7540339231491089, 1.0, 2.0, 0.9427950978279114, 1.0, 46.47615051269531, -47.52384948730469, 1.0, 0.7139755487442017, 1.0, 3.0, 0.9209549427032471, 1.0, 46.817447662353516, -47.182552337646484, 1.0, 0.6047746539115906, 1.0]"
2.899098,"[1.0, 0.9367246031761169, 1.0, 42.8402099609375, -51.1597900390625, 1.0, 0.6836231350898743, 1.0, 2.0, 0.9266039729118347, 1.0, 48.27067947387695, -45.72932052612305, 1.0, 0.6330198049545288, 1.0, 3.0, 0.9009963274002075, 1.0, 47.323486328125, -46.676513671875, 1.0, 0.5049817562103271, 1.0]"
4.899110,"[1.0, 0.9645065069198608, 1.0, 44.941585540771484, -49.058414459228516, 1.0, 0.8225324749946594, 1.0, 2.0, 0.9577803611755371, 1.0, 50.037235260009766, -43.962764739990234, 1.0, 0.788901686668396, 1.0, 3.0, 0.9418396949768066, 1.0, 42.504512786865234, -51.495487213134766, 1.0, 0.7091985940933228, 1.0]"
6.899458,"[1.0, 0.9347611665725708, 1.0, 43.10255432128906, -50.89744567871094, 1.0, 0.6738058924674988, 1.0, 2.0, 0.9235845804214478, 1.0, 45.26795196533203, -48.73204803466797, 1.0, 0.617922842502594, 1.0, 3.0, 0.9002060294151306, 1.0, 42.378997802734375, -51.621002197265625, 1.0, 0.5010302066802979, 1.0]"
8.899243,"[1.0, 0.9637336730957031, 1.0, 35.65106201171875, -58.34893798828125, 1.0, 0.8186684250831604, 1.0, 2.0, 0.9566649198532104, 1.0, 39.976593017578125, -54.023406982421875, 1.0, 0.783324658870697, 1.0, 3.0, 0.940824031829834, 1.0, 41.6707649230957, -52.3292350769043, 1.0, 0.7041202187538147, 1.0]"
10.899028,"[1.0, 0.9333529472351074, 1.0, 43.134765625, -50.865234375, 1.0, 0.6667646169662476, 1.0, 2.0, 0.9217519760131836, 1.0, 42.196624755859375, -51.803375244140625, 1.0, 0.6087598204612732, 1.0, 3.0, 0.9011399149894714, 1.0, 37.56996536254883, -56.43003463745117, 1.0, 0.5056995153427124, 1.0]"
12.898997,"[1.0, 0.895153284072876, 1.0, 40.55583953857422, -53.44416046142578, 1.0, 0.47576647996902466, 1.0, 2.0, 0.8959442973136902, 1.0, 38.000465393066406, -55.999534606933594, 1.0, 0.4797214865684509, 1.0, 3.0, 0.891183614730835, 1.0, 37.948673248291016, -56.051326751708984, 1.0, 0.4559180438518524, 1.0]"
14.899181,"[1.0, 0.871265172958374, 1.0, 42.233577728271484, -51.766422271728516, 1.0, 0.3563259243965149, 1.0, 2.0, 0.8807492852210999, 1.0, 37.53976821899414, -56.46023178100586, 1.0, 0.4037463366985321, 1.0, 3.0, 0.8809706568717957, 1.0, 40.02984619140625, -53.97015380859375, 1.0, 0.4048532247543335, 1.0]"
16.899216,"[1.0, 0.8709636926651001, 1.0, 41.66969680786133, -52.33030319213867, 1.0, 0.3548184335231781, 1.0, 2.0, 0.8802351951599121, 1.0, 33.85538864135742, -60.14461135864258, 1.0, 0.4011760354042053, 1.0, 3.0, 0.8799270987510681, 1.0, 40.62870407104492, -53.37129592895508, 1.0, 0.3996354043483734, 1.0]"
18.899271,"[1.0, 0.8708772659301758, 1.0, 43.58647155761719, -50.41352844238281, 1.0, 0.3543863594532013, 1.0, 2.0, 0.8809764385223389, 1.0, 37.6441650390625, -56.3558349609375, 1.0, 0.4048820734024048, 1.0, 3.0, 0.8808201551437378, 1.0, 31.56001091003418, -62.43998718261719, 1.0, 0.4041007459163666, 1.0]"
