time_s,assignment
21.834500,"{""assignments"": [{""gcs_snr_db"": 40.88, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9965, ""uav_id"": 1}, {""gcs_snr_db"": 16.6, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8434, ""uav_id"": 2}, {""gcs_snr_db"": 33.88, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9965, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
23.834599,"{""assignments"": [{""gcs_snr_db"": 42.35, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9974, ""uav_id"": 1}, {""gcs_snr_db"": 20.87, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8864, ""uav_id"": 2}, {""gcs_snr_db"": 26.28, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9605, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
25.834565,"{""assignments"": [{""gcs_snr_db"": 38.25, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9976, ""uav_id"": 1}, {""gcs_snr_db"": 17.56, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8547, ""uav_id"": 2}, {""gcs_snr_db"": 30.84, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9967, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
27.834482,"{""assignments"": [{""gcs_snr_db"": 41.61, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9982, ""uav_id"": 1}, {""gcs_snr_db"": 16.48, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8446, ""uav_id"": 2}, {""gcs_snr_db"": 23.67, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9347, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
29.834673,"{""assignments"": [{""gcs_snr_db"": 36.75, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9945, ""uav_id"": 1}, {""gcs_snr_db"": 21.29, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8888, ""uav_id"": 2}, {""gcs_snr_db"": 26.46, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9607, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
31.834778,"{""assignments"": [{""gcs_snr_db"": 40.75, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9968, ""uav_id"": 1}, {""gcs_snr_db"": 19.07, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8696, ""uav_id"": 2}, {""gcs_snr_db"": 30.36, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9979, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
33.834802,"{""assignments"": [{""gcs_snr_db"": 34.39, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9963, ""uav_id"": 1}, {""gcs_snr_db"": 13.62, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8152, ""uav_id"": 2}, {""gcs_snr_db"": 33.86, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9974, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
35.834550,"{""assignments"": [{""gcs_snr_db"": 34.21, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9923, ""uav_id"": 1}, {""gcs_snr_db"": -10.79, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.5769, ""uav_id"": 2}, {""gcs_snr_db"": 32.21, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9938, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
37.834566,"{""assignments"": [{""gcs_snr_db"": 41.43, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9957, ""uav_id"": 1}, {""gcs_snr_db"": 19.73, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8694, ""uav_id"": 2}, {""gcs_snr_db"": 36.45, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9909, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
39.834617,"{""assignments"": [{""gcs_snr_db"": 35.88, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9978, ""uav_id"": 1}, {""gcs_snr_db"": 14.97, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8295, ""uav_id"": 2}, {""gcs_snr_db"": 28.85, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9864, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
