elapsed_s,log_timestamp_unix_s,source_time_boot_ms,seq,sysid,compid,north_x_m,east_y_m,down_z_m,velocity_north_mps,velocity_east_mps,velocity_down_mps
938.066275,1788180533.935781,1046853,201,1,1,-18.39647674560547,0.5293866991996765,-3.115067958831787,-0.01784856617450714,0.013285049237310886,0.011310446076095104
938.642126,1788180534.511632,1047356,229,1,1,-18.42389488220215,0.561295211315155,-3.1089823246002197,-0.01816912740468979,0.015842488035559654,0.013118620961904526
939.109799,1788180534.979305,1047853,2,1,1,-18.456735610961914,0.5980749726295471,-3.096536159515381,-0.019944382831454277,0.020364154130220413,0.01473585981875658
939.593450,1788180535.462956,1048353,30,1,1,-18.489192962646484,0.6473947763442993,-3.090421676635742,-0.018309712409973145,0.030782898887991905,0.014192710630595684
940.140811,1788180536.010317,1048853,59,1,1,-18.527116775512695,0.6959691047668457,-3.0841569900512695,-0.02164941094815731,0.034123752266168594,0.016713440418243408
940.643332,1788180536.512838,1049356,87,1,1,-18.561460494995117,0.7583012580871582,-3.081395149230957,-0.01893109828233719,0.046352677047252655,0.018544191494584084
941.188590,1788180537.058096,1049853,116,1,1,-18.595054626464844,0.8243038058280945,-3.0734357833862305,-0.020539576187729836,0.05769628658890724,0.01872984506189823
941.595845,1788180537.465351,1050356,145,1,1,-18.633094787597656,0.8880013227462769,-3.0777525901794434,-0.021132906898856163,0.06567088514566422,0.018501030281186104
942.096356,1788180537.965862,1050853,174,1,1,-18.678028106689453,0.9483835697174072,-3.0747735500335693,-0.02685770019888878,0.07074278593063354,0.018215546384453773
942.675506,1788180538.545012,1051353,202,1,1,-18.739837646484375,1.0025357007980347,-3.084519386291504,-0.03886604309082031,0.06994948536157608,0.014709161594510078
943.128927,1788180538.998433,1051853,231,1,1,-18.8060302734375,1.055494785308838,-3.1021413803100586,-0.05043405294418335,0.07049178332090378,0.008034856989979744
943.595084,1788180539.464590,1052354,3,1,1,-18.851356506347656,1.1106414794921875,-3.106407403945923,-0.0456654392182827,0.07019083946943283,0.005123537965118885
944.095521,1788180539.965027,1052856,32,1,1,-18.90148162841797,1.161773681640625,-3.1122143268585205,-0.048424698412418365,0.06804443895816803,0.0032224657479673624
944.625873,1788180540.495379,1053353,60,1,1,-18.940643310546875,1.207639455795288,-3.113969326019287,-0.043428994715213776,0.06204269826412201,0.0029850169084966183
945.093148,1788180540.962654,1053853,90,1,1,-18.97271728515625,1.255066156387329,-3.1165356636047363,-0.03563421592116356,0.060363661497831345,0.002135434653609991
945.591532,1788180541.461038,1054353,118,1,1,-19.01520347595215,1.2949172258377075,-3.1279008388519287,-0.036378905177116394,0.054257750511169434,-0.0020482009276747704
946.121020,1788180541.990526,1054853,147,1,1,-19.056045532226562,1.3289352655410767,-3.1367568969726562,-0.033240094780921936,0.04519544914364815,-0.007268521934747696
946.633388,1788180542.502894,1055353,175,1,1,-19.10414695739746,1.3603519201278687,-3.149995803833008,-0.03554129973053932,0.03650234639644623,-0.010866847820580006
947.166598,1788180543.036104,1055853,204,1,1,-19.14618682861328,1.3865046501159668,-3.1564204692840576,-0.03351602703332901,0.029568228870630264,-0.010096460580825806
947.589705,1788180543.459211,1056356,232,1,1,-19.194446563720703,1.4201939105987549,-3.175485372543335,-0.03259964659810066,0.027887048199772835,-0.016049832105636597
948.131821,1788180544.001327,1056857,5,1,1,-19.23896026611328,1.448508381843567,-3.1770997047424316,-0.031159650534391403,0.023442575708031654,-0.015099523589015007
948.648643,1788180544.518149,1057353,33,1,1,-19.286287307739258,1.4741102457046509,-3.17169189453125,-0.030191930010914803,0.020357629284262657,-0.01008659414947033
