time_s,metric,source,destination,value
3.276213,obstacle_loss_db,0,1,0.0
3.276213,obstacle_loss_db,0,2,17.526193618774414
3.276213,obstacle_loss_db,0,3,0.0
3.276213,obstacle_loss_db,1,2,0.0
3.276213,obstacle_loss_db,1,3,0.0
3.276213,obstacle_loss_db,2,3,0.0
3.379917,obstacle_loss_db,0,1,0.0
3.379917,obstacle_loss_db,0,2,17.465158462524414
3.379917,obstacle_loss_db,0,3,0.0
3.379917,obstacle_loss_db,1,2,0.0
3.379917,obstacle_loss_db,1,3,0.0
3.379917,obstacle_loss_db,2,3,0.0
3.476295,obstacle_loss_db,0,1,0.0
3.476295,obstacle_loss_db,0,2,17.40210723876953
3.476295,obstacle_loss_db,0,3,0.0
3.476295,obstacle_loss_db,1,2,0.0
3.476295,obstacle_loss_db,1,3,0.0
3.476295,obstacle_loss_db,2,3,0.0
3.579980,obstacle_loss_db,0,1,0.0
3.579980,obstacle_loss_db,0,2,17.344362258911133
3.579980,obstacle_loss_db,0,3,0.0
3.579980,obstacle_loss_db,1,2,0.0
3.579980,obstacle_loss_db,1,3,0.0
3.579980,obstacle_loss_db,2,3,0.0
3.615332,rssi_dbm,0,1,-51.50115966796875
3.615332,rssi_dbm,0,2,-85.88188934326172
3.615332,rssi_dbm,0,3,-62.48154830932617
3.615332,rssi_dbm,1,2,-60.57134246826172
3.615332,rssi_dbm,1,3,-57.108882904052734
3.615332,rssi_dbm,2,3,-55.51548385620117
3.615349,snr_db,0,1,42.49884033203125
3.615349,snr_db,0,2,8.118107795715332
3.615349,snr_db,0,3,31.518451690673828
3.615349,snr_db,1,2,33.42865753173828
3.615349,snr_db,1,3,36.891117095947266
3.615349,snr_db,2,3,38.48451614379883
3.676200,obstacle_loss_db,0,1,0.0
3.676200,obstacle_loss_db,0,2,17.291898727416992
3.676200,obstacle_loss_db,0,3,0.0
3.676200,obstacle_loss_db,1,2,0.0
3.676200,obstacle_loss_db,1,3,0.0
3.676200,obstacle_loss_db,2,3,0.0
3.780097,obstacle_loss_db,0,1,0.0
3.780097,obstacle_loss_db,0,2,17.188444137573242
3.780097,obstacle_loss_db,0,3,0.0
3.780097,obstacle_loss_db,1,2,0.0
3.780097,obstacle_loss_db,1,3,0.0
3.780097,obstacle_loss_db,2,3,0.0
3.876069,obstacle_loss_db,0,1,0.0
3.876069,obstacle_loss_db,0,2,17.188444137573242
3.876069,obstacle_loss_db,0,3,0.0
3.876069,obstacle_loss_db,1,2,0.0
3.876069,obstacle_loss_db,1,3,0.0
3.876069,obstacle_loss_db,2,3,0.0
3.979818,obstacle_loss_db,0,1,0.0
3.979818,obstacle_loss_db,0,2,17.137426376342773
3.979818,obstacle_loss_db,0,3,0.0
3.979818,obstacle_loss_db,1,2,0.0
3.979818,obstacle_loss_db,1,3,0.0
3.979818,obstacle_loss_db,2,3,0.0
4.076286,obstacle_loss_db,0,1,0.0
4.076286,obstacle_loss_db,0,2,17.09368133544922
4.076286,obstacle_loss_db,0,3,0.0
4.076286,obstacle_loss_db,1,2,0.0
4.076286,obstacle_loss_db,1,3,0.0
4.076286,obstacle_loss_db,2,3,0.0
4.115268,rssi_dbm,0,1,-56.21887969970703
4.115268,rssi_dbm,0,2,-82.04804229736328
4.115268,rssi_dbm,0,3,-57.14458084106445
4.115268,rssi_dbm,1,2,-54.05592346191406
4.115268,rssi_dbm,1,3,-57.772613525390625
4.115268,rssi_dbm,2,3,-62.72309112548828
4.115280,snr_db,0,1,37.78112030029297
4.115280,snr_db,0,2,11.951957702636719
4.115280,snr_db,0,3,36.85541915893555
4.115280,snr_db,1,2,39.94407653808594
4.115280,snr_db,1,3,36.227386474609375
4.115280,snr_db,2,3,31.27690887451172
4.179923,obstacle_loss_db,0,1,0.0
4.179923,obstacle_loss_db,0,2,17.01369285583496
4.179923,obstacle_loss_db,0,3,0.0
4.179923,obstacle_loss_db,1,2,0.0
4.179923,obstacle_loss_db,1,3,0.0
