time_s,assignment
44.164103,"{""assignments"": [{""gcs_snr_db"": 45.14, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9551, ""uav_id"": 1}, {""gcs_snr_db"": 10.45, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7528, ""uav_id"": 2}, {""gcs_snr_db"": 31.88, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9694, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
46.164140,"{""assignments"": [{""gcs_snr_db"": 41.91, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9844, ""uav_id"": 1}, {""gcs_snr_db"": -1.71, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.6481, ""uav_id"": 2}, {""gcs_snr_db"": 32.85, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9942, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
48.164137,"{""assignments"": [{""gcs_snr_db"": 36.27, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9963, ""uav_id"": 1}, {""gcs_snr_db"": 17.72, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8555, ""uav_id"": 2}, {""gcs_snr_db"": 36.01, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9961, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
50.164213,"{""assignments"": [{""gcs_snr_db"": 40.35, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9582, ""uav_id"": 1}, {""gcs_snr_db"": 17.84, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8356, ""uav_id"": 2}, {""gcs_snr_db"": 28.29, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9592, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
52.164178,"{""assignments"": [{""gcs_snr_db"": 45.56, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8921, ""uav_id"": 1}, {""gcs_snr_db"": 16.65, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7829, ""uav_id"": 2}, {""gcs_snr_db"": 31.98, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9354, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
54.164107,"{""assignments"": [{""gcs_snr_db"": 45.42, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8913, ""uav_id"": 1}, {""gcs_snr_db"": 15.98, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.775, ""uav_id"": 2}, {""gcs_snr_db"": 30.11, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9332, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
56.164194,"{""assignments"": [{""gcs_snr_db"": 40.42, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9556, ""uav_id"": 1}, {""gcs_snr_db"": 22.02, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8772, ""uav_id"": 2}, {""gcs_snr_db"": 32.3, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9759, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
58.164078,"{""assignments"": [{""gcs_snr_db"": 44.86, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9967, ""uav_id"": 1}, {""gcs_snr_db"": 16.64, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8453, ""uav_id"": 2}, {""gcs_snr_db"": 32.38, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9976, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
60.164341,"{""assignments"": [{""gcs_snr_db"": 40.62, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9277, ""uav_id"": 1}, {""gcs_snr_db"": -1.8, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.6219, ""uav_id"": 2}, {""gcs_snr_db"": 30.3, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9581, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
62.164105,"{""assignments"": [{""gcs_snr_db"": 40.74, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8706, ""uav_id"": 1}, {""gcs_snr_db"": 12.79, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7342, ""uav_id"": 2}, {""gcs_snr_db"": 30.98, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9154, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
64.164122,"{""assignments"": [{""gcs_snr_db"": 44.62, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9231, ""uav_id"": 1}, {""gcs_snr_db"": 16.35, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8012, ""uav_id"": 2}, {""gcs_snr_db"": 31.04, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9555, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
66.164226,"{""assignments"": [{""gcs_snr_db"": 41.15, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9845, ""uav_id"": 1}, {""gcs_snr_db"": 10.44, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7771, ""uav_id"": 2}, {""gcs_snr_db"": 35.82, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.99, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
68.164133,"{""assignments"": [{""gcs_snr_db"": 43.11, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9378, ""uav_id"": 1}, {""gcs_snr_db"": 14.7, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7948, ""uav_id"": 2}, {""gcs_snr_db"": 28.52, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9505, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 12, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
