Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:08 AM  1002     43897   61.00    4.00    0.00    0.00   65.00    14  14726.00      0.00 9175896  805160   2.48  python3
12:05:08 AM  1002     44595    1.00    0.00    0.00    0.00    1.00     6      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:09 AM  1002     43897   62.00    7.00    0.00    0.00   69.00    14  14726.00      0.00 9175896  804712   2.48  python3
12:05:09 AM  1002     44595    1.00    0.00    0.00    0.00    1.00     6      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:10 AM  1002     43897   61.00    0.00    0.00    0.00   61.00    10  14727.00      0.00 9175896  804792   2.48  python3
12:05:10 AM  1002     44595    1.00    1.00    0.00    0.00    2.00     6      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:11 AM  1002     43897   43.00    0.00    0.00    0.00   43.00     8  14726.00      0.00 9175896  805140   2.48  python3
12:05:11 AM  1002     44595    1.00    0.00    0.00    0.00    1.00     6      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:12 AM  1002     43897   48.00    3.00    0.00    0.00   51.00     8  14726.00      0.00 9175896  804956   2.48  python3
12:05:12 AM  1002     44595    1.00    0.00    0.00    0.00    1.00     6      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:13 AM  1002     43897   31.00   10.00    0.00    0.00   41.00     8  14726.00      0.00 9190176  819316   2.52  python3
12:05:13 AM  1002     44595    2.00    1.00    0.00    0.00    3.00    12      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:14 AM  1002     43897   43.00    3.00    0.00    0.00   46.00    10  11156.00      0.00 9175896  805476   2.48  python3
12:05:14 AM  1002     44595    1.00    1.00    0.00    0.00    2.00    12      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:15 AM  1002     43897   37.00    3.00    0.00    0.00   40.00    10  14726.00      0.00 9175896  805556   2.48  python3
12:05:15 AM  1002     44595    1.00    0.00    0.00    0.00    1.00    12      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:16 AM  1002     43897   45.00    4.00    0.00    0.00   49.00    10  14726.00      0.00 9175896  805372   2.48  python3
12:05:16 AM  1002     44595    1.00    1.00    0.00    0.00    2.00     2      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:17 AM  1002     43897   44.00    0.00    0.00    0.00   44.00    10  14726.00      0.00 9175896  805188   2.48  python3
12:05:17 AM  1002     44595    1.00    1.00    0.00    0.00    2.00     8      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:18 AM  1002     43897   48.00    5.00    0.00    0.00   53.00    10  14726.00      0.00 9175896  805268   2.48  python3
12:05:18 AM  1002     44595    2.00    1.00    0.00    0.00    3.00    16      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:19 AM  1002     43897   49.00    0.00    0.00    0.00   49.00    10  14726.00      0.00 9175896  805348   2.48  python3
12:05:19 AM  1002     44595    2.00    0.00    0.00    0.00    2.00     8      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:20 AM  1002     43897   72.00    2.00    0.00    0.00   74.00    12  14728.00      0.00 9175896  805432   2.48  python3
12:05:20 AM  1002     44595    0.00    1.00    0.00    0.00    1.00     8      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:21 AM  1002     43897   52.00    1.00    0.00    0.00   53.00    10  14726.00      0.00 9175896  805516   2.48  python3
12:05:21 AM  1002     44595    2.00    0.00    0.00    0.00    2.00     0      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:22 AM  1002     43897   37.00    3.00    0.00    0.00   40.00    14  14726.00      0.00 9175896  805596   2.48  python3
12:05:22 AM  1002     44595    1.00    0.00    0.00    0.00    1.00     6      1.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:23 AM  1002     43897   40.00    3.00    0.00    0.00   43.00    14  14726.00      0.00 9175896  805412   2.48  python3
12:05:23 AM  1002     44595    3.00    1.00    0.00    0.00    4.00    19      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:24 AM  1002     43897   41.00    5.00    0.00    0.00   46.00    14  14726.00      0.00 9175896  805228   2.48  python3
12:05:24 AM  1002     44595    1.00    0.00    0.00    0.00    1.00    12      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:25 AM  1002     43897   50.00    5.00    0.00    0.00   55.00    14  14726.00      0.00 9175896  805308   2.48  python3
12:05:25 AM  1002     44595    0.00    1.00    0.00    0.00    1.00    12      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:26 AM  1002     43897   43.00    2.00    0.00    0.00   45.00    14  14726.00      0.00 9175896  805124   2.48  python3
12:05:26 AM  1002     44595    1.00    1.00    0.00    0.00    2.00     0      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:27 AM  1002     43897   37.00    5.00    0.00    0.00   42.00    14  14727.00      0.00 9175896  805204   2.48  python3
12:05:27 AM  1002     44595    1.00    1.00    0.00    0.00    2.00     4      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:28 AM  1002     43897   66.00    6.00    0.00    0.00   72.00    10  14726.00      0.00 9175896  805288   2.48  python3
12:05:28 AM  1002     44595    2.00    1.00    0.00    0.00    3.00    20      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:29 AM  1002     43897   41.00    1.00    0.00    0.00   42.00     8  14726.00      0.00 9175896  805104   2.48  python3
12:05:29 AM  1002     44595    1.00    1.00    0.00    0.00    2.00     8      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:30 AM  1002     43897   39.00    6.00    0.00    0.00   45.00    10  14726.00      0.00 9175896  805184   2.48  python3
12:05:30 AM  1002     44595    1.00    0.00    0.00    0.00    1.00     4      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:31 AM  1002     43897   47.00    3.00    0.00    0.00   50.00     8  14726.00      0.00 9175896  805264   2.48  python3
12:05:31 AM  1002     44595    2.00    1.00    0.00    0.00    3.00     4      0.00      0.00 2072144  169288   0.52  python3

