Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:48 AM  1002     71914   40.00    4.00    0.00    0.00   44.00    10  10136.00      0.00 9213120  841292   2.59  python3
01:13:48 AM  1002     72908    2.00    1.00    0.00    0.00    3.00     8      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:49 AM  1002     71914   63.00    4.00    0.00    0.00   67.00    12  10137.00      0.00 9213120  841252   2.59  python3
01:13:49 AM  1002     72908    2.00    1.00    0.00    0.00    3.00     8      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:50 AM  1002     71914   49.00    3.00    0.00    0.00   52.00    12  10136.00      0.00 9213120  841460   2.59  python3
01:13:50 AM  1002     72908    1.00    0.00    0.00    0.00    1.00    12      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:51 AM  1002     71914   43.00    4.00    0.00    0.00   47.00    12  10136.00      0.00 9213120  841156   2.59  python3
01:13:51 AM  1002     72908    2.00    1.00    0.00    0.00    3.00    10      1.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:52 AM  1002     71914   60.00    0.00    0.00    0.00   60.00    10  10136.00      0.00 9213120  841380   2.59  python3
01:13:52 AM  1002     72908    2.00    0.00    0.00    0.00    2.00    12      0.00      0.00 2072052  170024   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:13:53 AM  1002     71914   51.00    2.00    0.00    0.00   53.00    10  10136.00      0.00 9213120  841604   2.59  python3
