Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:51 AM  1002     82461   64.00    1.00    0.00    0.00   65.00    14  13196.00      0.00 9178348  808040   2.49  python3
01:53:51 AM  1002     82777    3.00    1.00    0.00    0.00    4.00     4   1995.00      0.00 2072044  177260   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:52 AM  1002     82461   55.00    2.00    0.00    0.00   57.00    14  15318.00      0.00 9178348  807732   2.49  python3
01:53:52 AM  1002     82777    1.00    2.00    0.00    0.00    3.00    14   1995.00      0.00 2072044  177260   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:53 AM  1002     82461   61.00    3.00    0.00    0.00   64.00    16  14824.00      0.00 9178348  808016   2.49  python3
01:53:53 AM  1002     82777    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2072044  177260   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:54 AM  1002     82461   63.00    3.00    0.00    1.00   66.00     4  15359.00      0.00 9173248  802752   2.47  python3
01:53:54 AM  1002     82777    1.00    2.00    0.00    0.00    3.00     4   1996.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:55 AM  1002     82461   85.00    8.00    0.00    0.00   93.00    10  13196.00      0.00 9171208  800892   2.47  python3
01:53:55 AM  1002     82777    3.00    1.00    0.00    0.00    4.00    21   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:56 AM  1002     82461   51.00    1.00    0.00    0.00   52.00    10  16258.00      0.00 9177328  806564   2.48  python3
