Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:19 AM  1002     74904    2.00    1.00    0.00    0.00    3.00    14   1990.00      0.00 2071968  177376   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:20 AM  1002     74590   46.00    1.00    0.00    0.00   47.00    10  14599.00      0.00 9192948  822732   2.53  python3
01:16:20 AM  1002     74904    3.00    1.00    0.00    0.00    4.00     8   1990.00      0.00 2071968  177376   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:21 AM  1002     74590   52.00    2.00    0.00    0.00   54.00    10  16920.00      0.00 9192948  823056   2.53  python3
01:16:21 AM  1002     74904    2.00    1.00    0.00    0.00    3.00    12   1990.00      0.00 2071968  177376   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:22 AM  1002     74590    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9192948  823056   2.53  python3
01:16:22 AM  1002     74904    2.00    1.00    0.00    0.00    3.00    10   1991.00      0.00 2071968  177380   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:23 AM  1002     74590   38.00    3.00    0.00    0.00   41.00     8  13869.00      0.00 9192948  822576   2.53  python3
01:16:23 AM  1002     74904    2.00    1.00    0.00    0.00    3.00     4   1990.00      0.00 2071968  177380   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:24 AM  1002     74590   42.00    4.00    0.00    0.00   46.00     8  16848.00      0.00 9192948  823188   2.53  python3
01:16:24 AM  1002     74904    1.00    2.00    0.00    0.00    3.00    21   1990.00      0.00 2071968  177380   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:25 AM  1002     74590   51.00    2.00    0.00    0.00   53.00     8  13707.00      0.00 9173844  803968   2.48  python3
01:16:25 AM  1002     74904    3.00    0.00    0.00    0.00    3.00    22   1991.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:26 AM  1002     74590   51.00    1.00    0.00    0.00   52.00     2  16652.00      0.00 9173844  803540   2.47  python3
01:16:26 AM  1002     74904    2.00    2.00    0.00    0.00    4.00    14   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:27 AM  1002     74590    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00 9173844  803540   2.47  python3
01:16:27 AM  1002     74904    2.00    0.00    0.00    0.00    2.00    14   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:28 AM  1002     74590    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00 9173844  803540   2.47  python3
01:16:28 AM  1002     74904    2.00    1.00    0.00    0.00    3.00    17   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:29 AM  1002     74590   60.00    6.00    0.00    0.00   66.00     2  14096.00      0.00 9173844  803356   2.47  python3
01:16:29 AM  1002     74904    3.00    1.00    0.00    0.00    4.00    17   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:30 AM  1002     74590   42.00    2.00    0.00    0.00   44.00     2  11539.00      0.00 9165680  795324   2.45  python3
01:16:30 AM  1002     74904    3.00    1.00    0.00    0.00    4.00    19   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:31 AM  1002     74590   39.00    2.00    0.00    0.00   41.00     8  14726.00      0.00 9162980  792724   2.44  python3
01:16:31 AM  1002     74904    2.00    1.00    0.00    0.00    3.00     8   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:32 AM  1002     74590   39.00    4.00    0.00    0.00   43.00     8  15841.00      0.00 9175872  805804   2.48  python3
01:16:32 AM  1002     74904    2.00    0.00    0.00    0.00    2.00    12   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:33 AM  1002     74590    0.00    0.00    0.00    0.00    0.00     8      0.00      0.00 9175872  805804   2.48  python3
01:16:33 AM  1002     74904    2.00    2.00    0.00    0.00    4.00     8   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:34 AM  1002     74590   82.00    0.00    0.00    0.00   82.00     8  13196.00      0.00 9175536  805288   2.48  python3
01:16:34 AM  1002     74904    2.00    2.00    0.00    0.00    4.00     8   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:35 AM  1002     74590   53.00    1.00    0.00    0.00   54.00     8  12938.00      0.00 9180620  810604   2.50  python3
01:16:35 AM  1002     74904    3.00    1.00    0.00    0.00    4.00     2   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:36 AM  1002     74590   51.00    4.00    0.00    0.00   55.00     2  18833.00      0.00 9162980  792188   2.44  python3
01:16:36 AM  1002     74904    2.00    1.00    0.00    0.00    3.00     8   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:37 AM  1002     74590   67.00    1.00    0.00    0.00   68.00     2  16294.00      0.00 9165680  795408   2.45  python3
01:16:37 AM  1002     74904    2.00    1.00    0.00    0.00    3.00    10   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:38 AM  1002     74590   41.00    0.00    0.00    0.00   41.00     2  15619.00      0.00 9162980  792936   2.44  python3
01:16:38 AM  1002     74904    2.00    1.00    0.00    0.00    3.00     8   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:39 AM  1002     74590    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00 9162980  792936   2.44  python3
01:16:39 AM  1002     74904    2.00    1.00    0.00    0.00    3.00    12   1990.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:40 AM  1002     74590    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00 9162980  792936   2.44  python3
01:16:40 AM  1002     74904    2.00    0.00    0.00    0.00    2.00    12   1991.00      0.00 2071968  177384   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:41 AM  1002     74590   51.00    4.00    0.00    0.00   55.00     2  15530.00      0.00 9194752  824544   2.54  python3
01:16:41 AM  1002     74904    3.00    1.00    0.00    0.00    4.00     6   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
