Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:51 PM  1002     13138   54.00    3.00    0.00    0.00   57.00     8  14695.00      0.00 9179864  808524   2.49  python3
12:29:51 PM  1002     13449    2.00    1.00    0.00    0.00    3.00    10   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:52 PM  1002     13138   53.00    2.00    0.00    0.00   55.00     8   9371.00      0.00 9172724  801896   2.47  python3
12:29:52 PM  1002     13449    2.00    2.00    0.00    0.00    4.00    20   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:53 PM  1002     13138   54.00    2.00    0.00    0.00   56.00    12  16224.00      0.00 9178844  807668   2.49  python3
12:29:53 PM  1002     13449    2.00    0.00    0.00    0.00    2.00    18   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:54 PM  1002     13138   38.00    2.00    0.00    0.00   40.00    12  14694.00      0.00 9172724  801536   2.47  python3
12:29:54 PM  1002     13449    3.00    1.00    0.00    0.00    4.00     2   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:55 PM  1002     13138   34.00    5.00    0.00    0.00   39.00    12  16224.00      0.00 9178844  807832   2.49  python3
12:29:55 PM  1002     13449    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:56 PM  1002     13138   50.00    1.00    0.00    0.00   51.00     8  14694.00      0.00 9172724  801704   2.47  python3
12:29:56 PM  1002     13449    1.00    2.00    0.00    0.00    3.00    19   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:57 PM  1002     13138   20.00    8.00    0.00    0.00   28.00     8  16224.00      0.00 9178844  808004   2.49  python3
12:29:57 PM  1002     13449    4.00    1.00    0.00    0.00    5.00     0   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:58 PM  1002     13138   61.00    3.00    0.00    0.00   64.00     8  14695.00      0.00 9172724  801612   2.47  python3
12:29:58 PM  1002     13449    3.00    0.00    0.00    0.00    3.00    17   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:29:59 PM  1002     13138   46.00    3.00    0.00    0.00   49.00     8  16224.00      0.00 9178844  807644   2.49  python3
12:29:59 PM  1002     13449    1.00    2.00    0.00    0.00    3.00    10   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:00 PM  1002     13138   38.00    2.00    0.00    0.00   40.00     8  14694.00      0.00 9197204  825800   2.54  python3
12:30:00 PM  1002     13449    3.00    2.00    0.00    0.00    5.00    23   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:01 PM  1002     13138   49.00    1.00    0.00    0.00   50.00    12  16224.00      0.00 9197204  825712   2.54  python3
12:30:01 PM  1002     13449    3.00    0.00    0.00    0.00    3.00    20   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:02 PM  1002     13138   59.00    5.00    0.00    0.00   64.00    12  15589.00      0.00 9197204  825852   2.54  python3
12:30:02 PM  1002     13449    2.00    2.00    0.00    0.00    4.00     0   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:03 PM  1002     13138   79.00    7.00    0.00    0.00   86.00    12  19794.00      0.00 9178844  807500   2.49  python3
12:30:03 PM  1002     13449    3.00    1.00    0.00    0.00    4.00    18   1995.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:04 PM  1002     13138    0.00    0.00    0.00    0.00    0.00    12      0.00      0.00 9178844  807500   2.49  python3
12:30:04 PM  1002     13449    2.00    1.00    0.00    0.00    3.00     0   1996.00      0.00 2069392  174872   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:05 PM  1002     13138    0.00    0.00    0.00    0.00    0.00    12      0.00      0.00 9178844  807500   2.49  python3
12:30:05 PM  1002     13449    2.00    1.00    0.00    0.00    3.00    10   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:06 PM  1002     13138    0.00    0.00    0.00    0.00    0.00    12      0.00      0.00 9178844  807500   2.49  python3
12:30:06 PM  1002     13449    3.00    1.00    0.00    0.00    4.00    10   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:07 PM  1002     13138    0.00    0.00    0.00    0.00    0.00    12      0.00      0.00 9178844  807500   2.49  python3
12:30:07 PM  1002     13449    1.00    1.00    0.00    0.00    2.00    10   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:08 PM  1002     13138    0.00    0.00    0.00    0.00    0.00    12      0.00      0.00 9178844  807500   2.49  python3
12:30:08 PM  1002     13449    2.00    2.00    0.00    0.00    4.00     8   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:09 PM  1002     13138   39.00    0.00    0.00    0.00   39.00    12  14694.00      0.00 9172724  801368   2.47  python3
12:30:09 PM  1002     13449    3.00    1.00    0.00    0.00    4.00    10   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:10 PM  1002     13138    0.00    0.00    0.00    0.00    0.00    12      0.00      0.00 9172724  801368   2.47  python3
12:30:10 PM  1002     13449    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:11 PM  1002     13138    0.00    0.00    0.00    0.00    0.00    12      0.00      0.00 9172724  801368   2.47  python3
12:30:11 PM  1002     13449    1.00    2.00    0.00    0.00    3.00     8   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
