Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:47 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    12      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:48 PM  1002     17388   44.00    3.00    0.00    0.00   47.00    10  13196.00      0.00 9182948  811488   2.50  python3
12:55:48 PM  1002     19073    1.00    0.00    0.00    0.00    1.00    12      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:49 PM  1002     17388   55.00    3.00    0.00    0.00   58.00    10  13196.00      0.00 9182948  811620   2.50  python3
12:55:49 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    12      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:50 PM  1002     17388   64.00    0.00    0.00    0.00   64.00     6  13196.00      0.00 9182948  811752   2.50  python3
12:55:50 PM  1002     19073    1.00    1.00    0.00    0.00    2.00    14      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:51 PM  1002     17388   56.00    0.00    0.00    0.00   56.00     6  13197.00      0.00 9182948  811620   2.50  python3
12:55:51 PM  1002     19073    1.00    2.00    0.00    0.00    3.00     2      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:52 PM  1002     17388   43.00    7.00    0.00    0.00   50.00     6  14656.00      0.00 9186008  814868   2.51  python3
12:55:52 PM  1002     19073    3.00    0.00    0.00    0.00    3.00     0      1.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:53 PM  1002     17388   47.00    3.00    0.00    0.00   50.00     6  12431.00      0.00 9182948  811456   2.50  python3
12:55:53 PM  1002     19073    1.00    1.00    0.00    0.00    2.00    22      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:54 PM  1002     17388   48.00    0.00    0.00    0.00   48.00     6  13196.00      0.00 9186008  814384   2.51  python3
12:55:54 PM  1002     19073    1.00    0.00    0.00    0.00    1.00     4      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:55 PM  1002     17388   50.00    5.00    0.00    0.00   55.00    10  12431.00      0.00 9182948  811500   2.50  python3
12:55:55 PM  1002     19073    2.00    1.00    0.00    0.00    3.00     8      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:56 PM  1002     17388   56.00    3.00    0.00    0.00   59.00     6  14656.00      0.00 9186008  814480   2.51  python3
12:55:56 PM  1002     19073    1.00    0.00    0.00    0.00    1.00     6      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:57 PM  1002     17388   56.00    0.00    0.00    0.00   56.00     6  12431.00      0.00 9182948  811596   2.50  python3
12:55:57 PM  1002     19073    2.00    1.00    0.00    0.00    3.00     2      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:58 PM  1002     17388   80.00    1.00    0.00    0.00   81.00     6  12176.00      0.00 9182948  811600   2.50  python3
