Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:03 AM  1002     97079   42.00    0.00    0.00    0.00   42.00    12  16059.00      0.00 9174724  804012   2.48  python3
02:18:03 AM  1002     97383    3.00    0.00    0.00    0.00    3.00     0      1.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:04 AM  1002     97079   48.00    4.00    0.00    0.00   52.00    12  13893.00      0.00 9162992  792312   2.44  python3
02:18:04 AM  1002     97383    2.00    0.00    0.00    0.00    2.00    14      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:05 AM  1002     97079   50.00    3.00    0.00    0.00   53.00    12  15223.00      0.00 9160292  789256   2.43  python3
02:18:05 AM  1002     97383    1.00    1.00    0.00    0.00    2.00    14      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:06 AM  1002     97079   75.00    3.00    0.00    0.00   78.00     8  16932.00      0.00 9164520  793700   2.44  python3
02:18:06 AM  1002     97383    2.00    1.00    0.00    0.00    3.00     6      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:07 AM  1002     97079   51.00    5.00    0.00    0.00   56.00     8  18067.00      0.00 9166052  794908   2.45  python3
02:18:07 AM  1002     97383    2.00    1.00    0.00    0.00    3.00    16      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:08 AM  1002     97079   49.00    1.00    0.00    0.00   50.00     8  15363.00      0.00 9164352  793352   2.44  python3
02:18:08 AM  1002     97383    3.00    0.00    0.00    0.00    3.00    10      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:09 AM  1002     97079   46.00    3.00    0.00    0.00   49.00     8  18429.00      0.00 9167052  796532   2.45  python3
02:18:09 AM  1002     97383    2.00    0.00    0.00    0.00    2.00    10      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:10 AM  1002     97079   47.00    1.00    0.00    0.00   48.00    12  18195.00      0.00 9197376  826096   2.54  python3
