Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:31:59 AM  1002    109461    1.00    1.00    0.00    0.00    2.00     4      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:00 AM  1002    108250   44.00    1.00    0.00    0.00   45.00     8  17244.00      0.00 9174248  802876   2.47  python3
02:32:00 AM  1002    109461    2.00    1.00    0.00    0.00    3.00    12      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:01 AM  1002    108250   49.00    4.00    0.00    0.00   53.00     8  14726.00      0.00 9174248  803264   2.47  python3
02:32:01 AM  1002    109461    2.00    1.00    0.00    0.00    3.00    10      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:02 AM  1002    108250   73.00    2.00    0.00    0.00   75.00     8  17245.00      0.00 9174248  802640   2.47  python3
02:32:02 AM  1002    109461    2.00    2.00    0.00    0.00    4.00    20      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:03 AM  1002    108250   43.00    0.00    0.00    0.00   43.00    10  14726.00      0.00 9174248  802768   2.47  python3
02:32:03 AM  1002    109461    3.00    0.00    0.00    0.00    3.00     2      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:04 AM  1002    108250   40.00    8.00    0.00    0.00   48.00    10  17244.00      0.00 9174248  802672   2.47  python3
02:32:04 AM  1002    109461    2.00    1.00    0.00    0.00    3.00    10      1.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:05 AM  1002    108250   56.00    1.00    0.00    0.00   57.00    10  14726.00      0.00 9174248  803060   2.47  python3
02:32:05 AM  1002    109461    2.00    2.00    0.00    0.00    4.00    14      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:06 AM  1002    108250   38.00    6.00    0.00    0.00   44.00    12  17244.00      0.00 9174248  802700   2.47  python3
02:32:06 AM  1002    109461    2.00    0.00    0.00    0.00    2.00     2      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:07 AM  1002    108250   50.00    2.00    0.00    0.00   52.00    12  14726.00      0.00 9174248  802560   2.47  python3
02:32:07 AM  1002    109461    2.00    1.00    0.00    0.00    3.00    19      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:08 AM  1002    108250   44.00    9.00    0.00    0.00   53.00    10  17244.00      0.00 9174248  802728   2.47  python3
02:32:08 AM  1002    109461    2.00    1.00    0.00    0.00    3.00     8      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:09 AM  1002    108250   70.00    7.00    0.00    0.00   77.00    10  14727.00      0.00 9174248  802852   2.47  python3
02:32:09 AM  1002    109461    2.00    1.00    0.00    0.00    3.00     6      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:10 AM  1002    108250   41.00    2.00    0.00    0.00   43.00     4  17244.00      0.00 9174248  802760   2.47  python3
02:32:10 AM  1002    109461    1.00    1.00    0.00    0.00    2.00    12      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:11 AM  1002    108250   49.00    6.00    0.00    0.00   55.00     4  14726.00      0.00 9174248  802884   2.47  python3
02:32:11 AM  1002    109461    2.00    1.00    0.00    0.00    3.00    10      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:12 AM  1002    108250   54.00    5.00    0.00    0.00   59.00    10  17244.00      0.00 9174248  803316   2.47  python3
02:32:12 AM  1002    109461    3.00    0.00    0.00    0.00    3.00    12      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:13 AM  1002    108250   54.00    2.00    0.00    0.00   56.00    10  14726.00      0.00 9186488  815416   2.51  python3
02:32:13 AM  1002    109461    2.00    0.00    0.00    0.00    2.00     6      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:14 AM  1002    108250   51.00    4.00    0.00    0.00   55.00     4  14298.00      0.00 9186488  815180   2.51  python3
02:32:14 AM  1002    109461    3.00    0.00    0.00    0.00    3.00     8      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:15 AM  1002    108250   44.00    1.00    0.00    0.00   45.00     4  14694.00      0.00 9186488  814920   2.51  python3
02:32:15 AM  1002    109461    2.00    2.00    0.00    0.00    4.00    19      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:16 AM  1002    108250   53.00    2.00    0.00    0.00   55.00    10  14184.00      0.00 9174248  802604   2.47  python3
02:32:16 AM  1002    109461    3.00    0.00    0.00    0.00    3.00     6      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:17 AM  1002    108250   64.00    6.00    0.00    0.00   70.00    10  14727.00      0.00 9174248  802728   2.47  python3
02:32:17 AM  1002    109461    2.00    1.00    0.00    0.00    3.00     2      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:18 AM  1002    108250   64.00    3.00    0.00    0.00   67.00    10  17244.00      0.00 9174248  802900   2.47  python3
02:32:18 AM  1002    109461    2.00    2.00    0.00    0.00    4.00     2      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:19 AM  1002    108250   70.00    1.00    0.00    0.00   71.00    10  14727.00      0.00 9174248  802764   2.47  python3
02:32:19 AM  1002    109461    3.00    1.00    0.00    0.00    4.00     2      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:20 AM  1002    108250   54.00    4.00    0.00    0.00   58.00    10  17244.00      0.00 9174248  802932   2.47  python3
02:32:20 AM  1002    109461    1.00    1.00    0.00    0.00    2.00     4      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:21 AM  1002    108250   56.00    0.00    0.00    0.00   56.00     4  14726.00      0.00 9180368  809176   2.49  python3
02:32:21 AM  1002    109461    2.00    1.00    0.00    0.00    3.00    19      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:22 AM  1002    108250   55.00    1.00    0.00    0.00   56.00     4  15714.00      0.00 9174248  802768   2.47  python3
02:32:22 AM  1002    109461    2.00    1.00    0.00    0.00    3.00    19      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:23 AM  1002    108250   52.00    1.00    0.00    0.00   53.00     8  14726.00      0.00 9174248  802892   2.47  python3
02:32:23 AM  1002    109461    2.00    1.00    0.00    0.00    3.00    10      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:24 AM  1002    108250   62.00    3.00    0.00    0.00   65.00     8  17245.00      0.00 9174248  803324   2.47  python3
02:32:24 AM  1002    109461    1.00    0.00    0.00    0.00    1.00    12      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:25 AM  1002    108250   55.00    3.00    0.00    0.00   58.00     8  14726.00      0.00 9174248  802924   2.47  python3
02:32:25 AM  1002    109461    2.00    0.00    0.00    0.00    2.00     6      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:26 AM  1002    108250   49.00    2.00    0.00    0.00   51.00     8  17244.00      0.00 9174248  802828   2.47  python3
02:32:26 AM  1002    109461    2.00    2.00    0.00    0.00    4.00     0      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:27 AM  1002    108250   43.00    3.00    0.00    0.00   46.00     8  14726.00      0.00 9174248  802952   2.47  python3
02:32:27 AM  1002    109461    1.00    1.00    0.00    0.00    2.00     4      1.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:28 AM  1002    108250   56.00    3.00    0.00    0.00   59.00    14  17244.00      0.00 9174248  802856   2.47  python3
02:32:28 AM  1002    109461    2.00    0.00    0.00    0.00    2.00     0      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:29 AM  1002    108250   41.00    6.00    0.00    0.00   47.00    14  14726.00      0.00 9174248  802980   2.47  python3
02:32:29 AM  1002    109461    2.00    1.00    0.00    0.00    3.00     0      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:30 AM  1002    108250   47.00    8.00    0.00    0.00   55.00    10  17244.00      0.00 9174248  802884   2.47  python3
02:32:30 AM  1002    109461    3.00    0.00    0.00    0.00    3.00    10      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:31 AM  1002    108250   71.00    3.00    0.00    0.00   74.00    10  14726.00      0.00 9174248  803008   2.47  python3
02:32:31 AM  1002    109461    1.00    1.00    0.00    0.00    2.00    11      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:32 AM  1002    108250   47.00    3.00    0.00    0.00   50.00     8  17244.00      0.00 9174248  803176   2.47  python3
02:32:32 AM  1002    109461    1.00    1.00    0.00    0.00    2.00    10      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:33 AM  1002    108250   62.00   12.00    0.00    0.00   74.00     8  14726.00      0.00 9174248  803036   2.47  python3
02:32:33 AM  1002    109461    2.00    1.00    0.00    0.00    3.00    10      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:34 AM  1002    108250   57.00    0.00    0.00    0.00   57.00     8  17245.00      0.00 9174248  802676   2.47  python3
02:32:34 AM  1002    109461    1.00    1.00    0.00    0.00    2.00    14      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:35 AM  1002    108250   49.00    0.00    0.00    0.00   49.00     8  14726.00      0.00 9174248  802804   2.47  python3
02:32:35 AM  1002    109461    2.00    1.00    0.00    0.00    3.00     6      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:36 AM  1002    108250   53.00    1.00    0.00    0.00   54.00    10  17244.00      0.00 9174248  802972   2.47  python3
02:32:36 AM  1002    109461    2.00    1.00    0.00    0.00    3.00    21      0.00      0.00 2072096  170080   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:37 AM  1002    108250   63.00    3.00    0.00    0.00   66.00    10  14726.00      0.00 9174248  802832   2.47  python3
02:32:37 AM  1002    109461    1.00    1.00    0.00    0.00    2.00    12      0.00      0.00 2072096  170080   0.52  python3
