Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:40:59 PM  1002      6927    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9181932  806916   2.48  python3
12:40:59 PM  1002      7278    4.00    1.00    0.00    0.00    5.00     6   1990.00      0.00 2069388  174540   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:00 PM  1002      6927    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9181932  806916   2.48  python3
12:41:00 PM  1002      7278    3.00    1.00    0.00    0.00    4.00     8   1990.00      0.00 2069388  174540   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:01 PM  1002      6927    1.00    0.00    0.00    0.00    1.00    10      0.00      0.00 9181932  806916   2.48  python3
12:41:01 PM  1002      7278    3.00    2.00    0.00    0.00    5.00     8   1990.00      0.00 2069388  174540   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:02 PM  1002      6927   48.00    3.00    0.00    0.00   51.00    14  13068.00      0.00 9181932  807112   2.49  python3
12:41:02 PM  1002      7278    3.00    2.00    0.00    0.00    5.00    14   1990.00      0.00 2069388  174540   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:03 PM  1002      6927    0.00    0.00    0.00    0.00    0.00    14      0.00      0.00 9181932  807112   2.49  python3
12:41:03 PM  1002      7278    3.00    1.00    0.00    0.00    4.00    16   1990.00      0.00 2069388  174540   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:04 PM  1002      6927   49.00    3.00    0.00    0.00   52.00    12  10136.00      0.00 9181932  807048   2.48  python3
12:41:04 PM  1002      7278    3.00    2.00    0.00    0.00    5.00     4   1991.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:05 PM  1002      6927   51.00    1.00    0.00    0.00   52.00     8  16387.00      0.00 9181932  807068   2.49  python3
12:41:05 PM  1002      7278    2.00    1.00    0.00    0.00    3.00    10   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:06 PM  1002      6927   46.00    4.00    0.00    0.00   50.00    10  10297.00      0.00 9181932  807420   2.49  python3
12:41:06 PM  1002      7278    2.00    1.00    0.00    0.00    3.00    16   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:07 PM  1002      6927   40.00    1.00    0.00    0.00   41.00    10  13068.00      0.00 9181932  807088   2.49  python3
12:41:07 PM  1002      7278    2.00    2.00    0.00    0.00    4.00    14   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:08 PM  1002      6927   40.00    0.00    0.00    0.00   40.00    10  10297.00      0.00 9181932  806912   2.48  python3
12:41:08 PM  1002      7278    3.00    0.00    0.00    0.00    3.00     6   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:09 PM  1002      6927   38.00    3.00    0.00    0.00   41.00    10  12872.00      0.00 9181932  807080   2.49  python3
12:41:09 PM  1002      7278    2.00    1.00    0.00    0.00    3.00     8   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:10 PM  1002      6927   49.00    2.00    0.00    0.00   51.00    10  10266.00      0.00 9181932  806772   2.48  python3
12:41:10 PM  1002      7278    2.00    1.00    0.00    0.00    3.00     2   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:11 PM  1002      6927   45.00    7.00    0.00    0.00   52.00     8  12871.00      0.00 9203072  827792   2.55  python3
12:41:11 PM  1002      7278    1.00    2.00    0.00    0.00    3.00     2   1995.00      0.00 2069388  174524   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
