Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:34 AM  1002    111975   46.00    6.00    0.00    0.00   52.00    10  19214.00      0.00 9173076  801968   2.47  python3
02:37:34 AM  1002    113604    2.00    1.00    0.00    0.00    3.00    10   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:35 AM  1002    111975   51.00    2.00    0.00    0.00   53.00    10  18379.00      0.00 9173076  802052   2.47  python3
02:37:35 AM  1002    113604    2.00    2.00    0.00    0.00    4.00    10   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:36 AM  1002    111975   48.00    0.00    0.00    0.00   48.00    10  19157.00      0.00 9173076  802284   2.47  python3
02:37:36 AM  1002    113604    1.00    1.00    0.00    0.00    2.00    12   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:37 AM  1002    111975   51.00    3.00    0.00    0.00   54.00    10  18378.00      0.00 9173076  801840   2.47  python3
02:37:37 AM  1002    113604    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:38 AM  1002    111975   51.00    4.00    0.00    0.00   55.00    10  18774.00      0.00 9173076  802188   2.47  python3
02:37:38 AM  1002    113604    2.00    3.00    0.00    0.00    5.00     6   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:39 AM  1002    111975   53.00    2.00    0.00    0.00   55.00    12  20235.00      0.00 9173076  802056   2.47  python3
02:37:39 AM  1002    113604    1.00    2.00    0.00    0.00    3.00    17   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:40 AM  1002    111975   46.00    0.00    0.00    0.00   46.00     8  19157.00      0.00 9173076  802020   2.47  python3
02:37:40 AM  1002    113604    3.00    1.00    0.00    0.00    4.00     2   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:41 AM  1002    111975   67.00    3.00    0.00    0.00   70.00     8  18378.00      0.00 9173076  801844   2.47  python3
02:37:41 AM  1002    113604    3.00    0.00    0.00    0.00    3.00    14   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:42 AM  1002    111975   53.00    0.00    0.00    0.00   53.00     8  12800.00      0.00 9173076  801772   2.47  python3
02:37:42 AM  1002    113604    1.00    2.00    0.00    0.00    3.00    14   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:43 AM  1002    111975   46.00    8.00    0.00    0.00   54.00    12  18774.00      0.00 9173076  802096   2.47  python3
02:37:43 AM  1002    113604    1.00    2.00    0.00    0.00    3.00    14   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:44 AM  1002    111975   46.00    5.00    0.00    0.00   51.00     8  18775.00      0.00 9173076  801916   2.47  python3
02:37:44 AM  1002    113604    2.00    2.00    0.00    0.00    4.00    14   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:45 AM  1002    111975   48.00    5.00    0.00    0.00   53.00     8  20235.00      0.00 9173076  802052   2.47  python3
02:37:45 AM  1002    113604    2.00    1.00    0.00    0.00    3.00    10   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:46 AM  1002    111975   42.00    7.00    0.00    0.00   49.00    10  18774.00      0.00 9173076  801872   2.47  python3
02:37:46 AM  1002    113604    2.00    0.00    0.00    0.00    2.00    10   1995.00      0.00 2072148  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:37:47 AM  1002    111975   64.00    6.00    0.00    0.00   70.00    10  18774.00      0.00 9173076  801428   2.47  python3
02:37:47 AM  1002    113604    2.00    2.00    0.00    0.00    4.00    14   1995.00      0.00 2072148  170092   0.52  python3
