Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:15 PM  1002     13145    1.00    2.00    0.00    0.00    3.00     0   1995.00      0.00 2072032  169552   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:16 PM  1002     10730   57.00    5.00    0.00    0.00   62.00    12  13706.00      0.00 9179060  808668   2.49  python3
12:46:16 PM  1002     13145    2.00    0.00    0.00    0.00    2.00     2   1995.00      0.00 2072032  169552   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:17 PM  1002     10730   43.00    2.00    0.00    0.00   45.00    12  17244.00      0.00 9172940  802868   2.47  python3
12:46:17 PM  1002     13145    2.00    1.00    0.00    0.00    3.00     2   1995.00      0.00 2072032  169552   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:18 PM  1002     10730   46.00    3.00    0.00    0.00   49.00    10  14726.00      0.00 9172940  802704   2.47  python3
12:46:18 PM  1002     13145    3.00    0.00    0.00    0.00    3.00     2   1996.00      0.00 2072032  169556   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:19 PM  1002     10730   71.00    0.00    0.00    0.00   71.00    12  14727.00      0.00 9181100  810700   2.50  python3
12:46:19 PM  1002     13145    1.00    2.00    0.00    0.00    3.00     4   1995.00      0.00 2072032  169556   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:20 PM  1002     10730   50.00    2.00    0.00    0.00   52.00    12  13834.00      0.00 9181100  811144   2.50  python3
12:46:20 PM  1002     13145    3.00    1.00    0.00    0.00    4.00     6   1995.00      0.00 2072032  169556   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
