elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,latitude_deg,longitude_deg,altitude_msl_m,relative_altitude_m,gps_local_east_m,gps_local_north_m,local_x_east_m,local_y_north_m,local_z_up_m,ground_speed_mps,vertical_speed_up_mps,heading_deg,source_topic
29.923359,2026-09-01T20:07:15.024593+00:00,1788293235.024593115,1788293235.017957926,1788293234.913028002,6.077372074,80.190757751,1.329999924,1.343999982,0.000000000,0.000000000,0.000000000,0.000000000,1.459999919,0.009158805,1.645222902,179.843207,/ap/v1/navsat
32.804764,2026-09-01T20:07:17.905998+00:00,1788293237.905998230,1788293237.839061022,1788293237.793092012,6.077372074,80.190757751,3.069999933,3.112999916,0.000000000,0.000000000,0.022138642,-0.011131885,3.119999886,0.011668775,-0.031281233,179.959810,/ap/v1/navsat
35.118526,2026-09-01T20:07:20.219761+00:00,1788293240.219760656,1788293240.038281918,1788293239.979301929,6.077367783,80.190757751,3.079999924,3.105000019,0.000000000,-0.474586726,0.044277284,-0.089055076,3.099999905,0.312415033,0.005193071,173.578922,/ap/v1/navsat
35.307617,2026-09-01T20:07:20.408852+00:00,1788293240.408851862,1788293240.238214970,1788293240.157242060,6.077367306,80.190757751,3.079999924,3.105000019,0.000000000,-0.527318585,0.044277284,-0.089055076,3.099999905,0.312415033,0.005193071,173.578922,/ap/v1/navsat
35.712339,2026-09-01T20:07:20.813573+00:00,1788293240.813573122,1788293240.637080908,1788293240.562105894,6.077365875,80.190757751,3.079999924,3.105999947,0.000000000,-0.685514160,0.121762536,-0.690176845,3.099999905,0.321339448,0.004142997,172.853956,/ap/v1/navsat
36.749130,2026-09-01T20:07:21.850364+00:00,1788293241.850364447,1788293241.636744976,1788293241.582762957,6.077363014,80.190757751,3.089999914,3.105999947,0.000000000,-1.001905311,0.143901184,-0.935078323,3.099999905,0.305700126,0.003108131,172.879601,/ap/v1/navsat
37.189053,2026-09-01T20:07:22.290287+00:00,1788293242.290287256,1788293242.038609982,1788293242.025614023,6.077361584,80.190757751,3.089999914,3.105999947,0.000000000,-1.160100887,0.177109137,-1.179979801,3.099999905,0.317715544,0.002740409,172.902285,/ap/v1/navsat
38.396311,2026-09-01T20:07:23.497546+00:00,1788293243.497545958,1788293243.237206936,1788293243.165230989,6.077357769,80.190757751,3.089999914,3.107000113,0.000000000,-1.581955755,0.232455760,-1.569595695,3.099999905,0.333865904,0.002070704,172.922958,/ap/v1/navsat
39.869500,2026-09-01T20:07:24.970735+00:00,1788293244.970734596,1788293244.638736010,1788293244.584753990,6.077353477,80.190757751,3.099999905,3.107000113,0.000000000,-2.056542481,0.298871696,-2.081662416,3.099999905,0.326066039,0.002123336,172.950427,/ap/v1/navsat
44.626248,2026-09-01T20:07:29.727482+00:00,1788293249.727482080,1788293249.238189936,1788293249.202202082,6.077339172,80.190757751,3.109999895,3.108000040,0.000000000,-3.638498236,0.498119473,-3.662389994,3.099999905,0.326119239,0.000123723,172.958130,/ap/v1/navsat
46.082200,2026-09-01T20:07:31.183435+00:00,1788293251.183434963,1788293250.636719942,1788293250.499766111,6.077334881,80.190757751,3.109999895,3.108000040,0.000000000,-4.113084962,0.553466141,-4.129929066,3.099999905,0.327322624,-0.000757949,172.957214,/ap/v1/navsat
46.449483,2026-09-01T20:07:31.550718+00:00,1788293251.550718307,1788293251.037585020,1788293250.966609001,6.077333450,80.190757751,3.109999895,3.108000040,0.000000000,-4.271280538,0.564535439,-4.274643898,3.099999905,0.327560305,-0.000825288,172.957139,/ap/v1/navsat
49.760139,2026-09-01T20:07:34.861373+00:00,1788293254.861372948,1788293254.236510038,1788293254.182528019,6.077323437,80.190765381,3.109999895,3.107000113,0.844558792,-5.378649566,0.708436608,-5.376700401,3.099999905,0.327513952,-0.000608777,172.961511,/ap/v1/navsat
50.586206,2026-09-01T20:07:35.687440+00:00,1788293255.687439919,1788293255.036241055,1788293254.957268000,6.077321053,80.190765381,3.109999895,3.105999947,0.844558792,-5.642308859,0.730575264,-5.621601582,3.099999905,0.328270601,-0.000629684,172.962056,/ap/v1/navsat
51.229178,2026-09-01T20:07:36.330413+00:00,1788293256.330412865,1788293255.638039112,1788293255.456099987,6.077319145,80.190765381,3.109999895,3.105999947,0.844558792,-5.853236293,0.763783216,-5.866503239,3.099999905,0.330473403,-0.000641180,172.965005,/ap/v1/navsat
51.420690,2026-09-01T20:07:36.521924+00:00,1788293256.521924257,1788293255.818978071,1788293255.765995979,6.077318668,80.190765381,3.109999895,3.105999947,0.844558792,-5.905968151,0.763783216,-5.866503239,3.099999905,0.330473403,-0.000641180,172.965005,/ap/v1/navsat
52.659725,2026-09-01T20:07:37.760958+00:00,1788293257.760958433,1788293257.038568020,1788293256.958595037,6.077314854,80.190765381,3.109999895,3.105999947,0.844558792,-6.327823019,0.830199122,-6.389701843,3.099999905,0.333560822,-0.000729514,172.964310,/ap/v1/navsat
