elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,message_type,topic,sequence_number,sysid,compid,interarrival_ms
19.197037,2026-09-01T20:52:50.861222+00:00,1788295970.861221552,,1788295969.731962919,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,526.362
19.698099,2026-09-01T20:52:51.362284+00:00,1788295971.362283945,,1788295970.207803011,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,501.063
20.234858,2026-09-01T20:52:51.899044+00:00,1788295971.899044037,,1788295970.696639061,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,536.761
20.731667,2026-09-01T20:52:52.395852+00:00,1788295972.395851851,,1788295971.112498999,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,496.806
21.279258,2026-09-01T20:52:52.943444+00:00,1788295972.943443537,,1788295971.719295025,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,547.590
21.776606,2026-09-01T20:52:53.440792+00:00,1788295973.440791845,,1788295972.195135117,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,497.351
22.326668,2026-09-01T20:52:53.990854+00:00,1788295973.990853548,,1788295972.724956989,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,550.059
22.824679,2026-09-01T20:52:54.488865+00:00,1788295974.488864660,,1788295973.168807983,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,498.008
23.326366,2026-09-01T20:52:54.990551+00:00,1788295974.990551472,,1788295973.634650946,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,501.690
23.826807,2026-09-01T20:52:55.490993+00:00,1788295975.490992785,,1788295974.221453905,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,500.441
24.358630,2026-09-01T20:52:56.022816+00:00,1788295976.022816181,,1788295974.709290028,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,531.820
24.864372,2026-09-01T20:52:56.528558+00:00,1788295976.528558254,,1788295975.209121943,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,505.744
25.385701,2026-09-01T20:52:57.049887+00:00,1788295977.049887180,,1788295975.688961029,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,521.335
25.904556,2026-09-01T20:52:57.568742+00:00,1788295977.568741798,,1788295976.175796986,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,518.853
26.428673,2026-09-01T20:52:58.092859+00:00,1788295978.092858553,,1788295976.663633108,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,524.115
26.931333,2026-09-01T20:52:58.595518+00:00,1788295978.595517635,,1788295977.199453115,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,502.656
27.463164,2026-09-01T20:52:59.127349+00:00,1788295979.127349138,,1788295977.735272884,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,531.836
27.960298,2026-09-01T20:52:59.624483+00:00,1788295979.624483109,,1788295978.235105038,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,497.133
28.471020,2026-09-01T20:53:00.135206+00:00,1788295980.135205746,,1788295978.722940922,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,510.718
28.992534,2026-09-01T20:53:00.656720+00:00,1788295980.656719685,,1788295979.150796890,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,521.516
29.529611,2026-09-01T20:53:01.193796+00:00,1788295981.193796396,,1788295979.737600088,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,537.082
30.049254,2026-09-01T20:53:01.713440+00:00,1788295981.713439703,,1788295979.915539980,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,519.637
30.554573,2026-09-01T20:53:02.218760+00:00,1788295982.218759537,,1788295980.722269058,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,505.326
31.063434,2026-09-01T20:53:02.727619+00:00,1788295982.727619410,,1788295981.114136934,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,508.859
31.589956,2026-09-01T20:53:03.254142+00:00,1788295983.254142284,,1788295981.725931883,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,526.519
32.095369,2026-09-01T20:53:03.759555+00:00,1788295983.759554625,,1788295982.176779985,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,505.414
32.618984,2026-09-01T20:53:04.283170+00:00,1788295984.283169746,,1788295982.703603029,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,523.619
33.139962,2026-09-01T20:53:04.804147+00:00,1788295984.804147482,,1788295983.241421938,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,520.974
33.680934,2026-09-01T20:53:05.345119+00:00,1788295985.345118999,,1788295983.646286011,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,540.973
34.196576,2026-09-01T20:53:05.860762+00:00,1788295985.860762119,,1788295984.230089903,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,515.640
34.689080,2026-09-01T20:53:06.353264+00:00,1788295986.353264332,,1788295984.729922056,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,492.505
35.203861,2026-09-01T20:53:06.868047+00:00,1788295986.868046522,,1788295985.133785963,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,514.782
