run_id,rng_run,mode,frame_rate_hz,sequence_id,frame_admission_time,publish_time,frame_size_bytes,detector_callback_received,callback_time,relay_to_detector_callback_ms,decode_success,jpeg_encode_ms,jpeg_decode_ms,inference_completed,inference_completion_time,inference_ms,result_published,relay_to_inference_completion_ms,ground_result_receipt_time,pipeline_latency_ms
rate_ground_1hz_rng2,2,ground,1,63,1787839078.8396158,1787839078.8487463,19905,True,1787839079.3448699,505.25403022766113,True,2.4480819702148438,1.5032291412353516,True,1787839079.4047573,58.07757377624512,True,565.1414394378662,1787839079.4050026,565.3867721557617
rate_ground_1hz_rng2,2,ground,1,64,1787839079.839698,1787839079.852017,19904,True,1787839080.3171685,477.47039794921875,True,3.8213729858398438,1.874685287475586,True,1787839080.3612885,41.91756248474121,True,521.5904712677002,1787839080.3615339,521.8358039855957
rate_ground_1hz_rng2,2,ground,1,65,1787839080.8398175,1787839080.849731,19890,True,1787839081.2560563,416.23878479003906,True,2.51007080078125,2.994060516357422,True,1787839081.2996097,40.213823318481445,True,459.7921371459961,1787839081.2998352,460.0176811218262
rate_ground_1hz_rng2,2,ground,1,66,1787839081.839676,1787839081.852966,19918,True,1787839082.2916248,451.948881149292,True,4.072666168212891,1.821756362915039,True,1787839082.3336205,39.8859977722168,True,493.9446449279785,1787839082.3338783,494.2023754119873
rate_ground_1hz_rng2,2,ground,1,67,1787839082.8395426,1787839082.8489103,19913,False,,,False,2.4156570434570312,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,68,1787839083.8394933,1787839083.8473718,19849,True,1787839084.2882206,448.7273693084717,True,2.69317626953125,1.5685558319091797,True,1787839084.3661335,76.04002952575684,True,526.6401767730713,1787839084.36642,526.9267559051514
rate_ground_1hz_rng2,2,ground,1,69,1787839084.839627,1787839084.8487983,19962,True,1787839085.2851524,445.5254077911377,True,2.398967742919922,4.155397415161133,True,1787839085.3569975,67.31796264648438,True,517.3704624176025,1787839085.3572488,517.6217555999756
rate_ground_1hz_rng2,2,ground,1,70,1787839085.839649,1787839085.854189,19923,True,1787839086.331106,491.4569854736328,True,3.1347274780273438,2.156972885131836,True,1787839086.3990908,65.49072265625,True,559.4418048858643,1787839086.399322,559.6730709075928
rate_ground_1hz_rng2,2,ground,1,71,1787839086.8396816,1787839086.850548,19928,True,1787839087.29596,456.27832412719727,True,2.711057662963867,1.6167163848876953,True,1787839087.3513954,53.496360778808594,True,511.71374320983887,1787839087.3516495,511.96789741516113
rate_ground_1hz_rng2,2,ground,1,72,1787839087.8415692,1787839087.8543386,19913,True,1787839088.3037658,462.19658851623535,True,3.359079360961914,1.5349388122558594,True,1787839088.3524816,46.88739776611328,True,510.9124183654785,1787839088.3527114,511.1422538757324
rate_ground_1hz_rng2,2,ground,1,73,1787839088.839603,1787839088.8476164,19896,True,1787839089.3215027,481.8997383117676,True,2.1965503692626953,2.7184486389160156,True,1787839089.3713741,46.80919647216797,True,531.771183013916,1787839089.371621,532.0179462432861
rate_ground_1hz_rng2,2,ground,1,74,1787839089.8395367,1787839089.8482964,19935,True,1787839090.3297083,490.1716709136963,True,2.9206275939941406,4.350185394287109,True,1787839090.3698826,35.47072410583496,True,530.3459167480469,1787839090.370111,530.5743217468262
rate_ground_1hz_rng2,2,ground,1,75,1787839090.839672,1787839090.849656,19878,True,1787839091.3085825,468.91045570373535,True,2.4721622467041016,3.4799575805664062,True,1787839091.3825047,70.10149955749512,True,542.832612991333,1787839091.3827326,543.0605411529541
rate_ground_1hz_rng2,2,ground,1,76,1787839091.8396459,1787839091.8468466,19863,True,1787839092.3351588,495.5129623413086,True,2.3331642150878906,2.838611602783203,True,1787839092.39665,58.290958404541016,True,557.0042133331299,1787839092.3969102,557.2643280029297
rate_ground_1hz_rng2,2,ground,1,77,1787839092.8395634,1787839092.8492596,19907,False,,,False,2.8841495513916016,,False,,,False,,,
rate_ground_1hz_rng2,2,ground,1,78,1787839093.839568,1787839093.8468368,19953,True,1787839094.306039,466.47119522094727,True,2.183198928833008,1.4789104461669922,True,1787839094.365598,57.787179946899414,True,526.0300636291504,1787839094.365884,526.3161659240723
rate_ground_1hz_rng2,2,ground,1,79,1787839094.839588,1787839094.8505068,19879,True,1787839095.3373597,497.7717399597168,True,3.3550262451171875,1.5921592712402344,True,1787839095.39137,52.158355712890625,True,551.7821311950684,1787839095.3916202,552.0322322845459
