run_id,rng_run,mode,frame_rate_hz,sequence_id,frame_admission_time,publish_time,frame_size_bytes,detector_callback_received,callback_time,relay_to_detector_callback_ms,decode_success,jpeg_encode_ms,jpeg_decode_ms,inference_completed,inference_completion_time,inference_ms,result_published,relay_to_inference_completion_ms,ground_result_receipt_time,pipeline_latency_ms
rate_edge_1hz_rng2,2,edge,1,131,1787839837.916443,1787839837.916443,2764800,True,1787839837.9184902,2.0470619201660156,,,,True,1787839837.9761302,53.11703681945801,True,59.687137603759766,1787839838.1472967,230.85355758666992
rate_edge_1hz_rng2,2,edge,1,132,1787839838.9165044,1787839838.9165044,2764800,True,1787839838.9196656,3.161191940307617,,,,True,1787839838.9604256,35.095930099487305,True,43.92123222351074,1787839838.9616387,45.13430595397949
rate_edge_1hz_rng2,2,edge,1,133,1787839839.9163702,1787839839.9163702,2764800,True,1787839839.9291131,12.742996215820312,,,,True,1787839840.011272,78.0344009399414,True,94.90180015563965,1787839840.1103783,194.00811195373535
rate_edge_1hz_rng2,2,edge,1,134,1787839840.9164124,1787839840.9164124,2764800,True,1787839840.920513,4.100561141967773,,,,True,1787839841.0024984,77.22663879394531,True,86.08603477478027,1787839841.1102777,193.86529922485352
rate_edge_1hz_rng2,2,edge,1,135,1787839841.9164283,1787839841.9164283,2764800,True,1787839841.929301,12.872695922851562,,,,True,1787839841.9681826,34.78813171386719,True,51.75423622131348,1787839842.1126642,196.23589515686035
rate_edge_1hz_rng2,2,edge,1,136,1787839842.9164562,1787839842.9164562,2764800,True,1787839842.9294794,13.023138046264648,,,,True,1787839843.024021,88.71912956237793,True,107.56468772888184,1787839843.1566358,240.17953872680664
rate_edge_1hz_rng2,2,edge,1,137,1787839843.9164228,1787839843.9164228,2764800,True,1787839843.918308,1.8851757049560547,,,,True,1787839843.9753165,52.89268493652344,True,58.893680572509766,1787839844.1055174,189.09454345703125
rate_edge_1hz_rng2,2,edge,1,138,1787839844.9164243,1787839844.9164243,2764800,True,1787839844.9284134,11.989116668701172,,,,True,1787839845.0039027,70.33371925354004,True,87.4783992767334,1787839845.0738587,157.43446350097656
rate_edge_1hz_rng2,2,edge,1,139,1787839845.9163797,1787839845.9163797,2764800,True,1787839845.9183576,1.9779205322265625,,,,True,1787839845.9843621,61.18631362915039,True,67.98243522644043,1787839846.140818,224.43842887878418
rate_edge_1hz_rng2,2,edge,1,140,1787839846.9163804,1787839846.9163804,2764800,True,1787839846.9290595,12.679100036621094,,,,True,1787839847.0244362,87.6319408416748,True,108.05583000183105,1787839847.1037297,187.3493194580078
rate_edge_1hz_rng2,2,edge,1,141,1787839847.9164329,1787839847.9164329,2764800,True,1787839847.918323,1.8901824951171875,,,,True,1787839848.012914,90.83914756774902,True,96.4810848236084,1787839848.0754263,158.99348258972168
rate_edge_1hz_rng2,2,edge,1,142,1787839848.9164608,1787839848.9164608,2764800,True,1787839848.919262,2.801179885864258,,,,True,1787839848.9728646,47.893524169921875,True,56.40387535095215,1787839849.0960593,179.59856986999512
rate_edge_1hz_rng2,2,edge,1,143,1787839849.916433,1787839849.916433,2764800,True,1787839849.9185731,2.140045166015625,,,,True,1787839849.98474,62.189340591430664,True,68.30692291259766,1787839850.0440593,127.62618064880371
