label,arrival_time_s,gap_from_prev_ms
c0_mission_baseline,1785873225.051149,1092.31
c0_mission_baseline,1785873225.402242,351.09
c0_mission_baseline,1785873226.632464,1230.22
c0_mission_baseline,1785873226.831446,198.98
c0_mission_baseline,1785873227.019142,187.70
c0_mission_baseline,1785873227.247222,228.08
c0_mission_baseline,1785873227.873108,625.89
c0_mission_baseline,1785873228.057831,184.72
c0_mission_baseline,1785873228.284370,226.54
c0_mission_baseline,1785873228.457101,172.73
c0_mission_baseline,1785873228.828712,371.61
c0_mission_baseline,1785873229.697357,868.65
c0_mission_baseline,1785873230.436933,739.58
c0_mission_baseline,1785873230.861718,424.78
c0_mission_baseline,1785873231.212029,350.31
c0_mission_baseline,1785873231.384761,172.73
c0_mission_baseline,1785873231.965286,580.52
c0_mission_baseline,1785873233.802010,1836.72
c0_mission_baseline,1785873234.153455,351.44
c0_mission_baseline,1785873234.352525,199.07
c0_mission_baseline,1785873234.732569,380.04
c0_mission_baseline,1785873234.941566,209.00
c0_mission_baseline,1785873235.165610,224.04
c0_mission_baseline,1785873235.363292,197.68
c0_mission_baseline,1785873235.750735,387.44
c0_mission_baseline,1785873236.375551,624.82
c0_mission_baseline,1785873236.546263,170.71
c0_mission_baseline,1785873237.207669,661.41
c0_mission_baseline,1785873237.392267,184.60
c0_mission_baseline,1785873237.814144,421.88
c0_mission_baseline,1785873238.220459,406.31
c0_mission_baseline,1785873238.417282,196.82
c0_mission_baseline,1785873239.002857,585.58
c0_mission_baseline,1785873239.274553,271.70
c0_mission_baseline,1785873239.500664,226.11
c0_mission_baseline,1785873239.679102,178.44
c0_mission_baseline,1785873240.084316,405.21
c0_mission_baseline,1785873240.281820,197.50
c0_mission_baseline,1785873240.802392,520.57
c0_mission_baseline,1785873241.008872,206.48
c0_mission_baseline,1785873241.179536,170.66
c0_mission_baseline,1785873241.882998,703.46
c0_mission_baseline,1785873242.057451,174.45
c0_mission_baseline,1785873242.248113,190.66
c0_mission_baseline,1785873242.442392,194.28
c0_mission_baseline,1785873242.863154,420.76
c0_mission_baseline,1785873243.054332,191.18
c0_mission_baseline,1785873243.436618,382.29
c0_mission_baseline,1785873243.848971,412.35
c0_mission_baseline,1785873244.070885,221.91
c0_mission_baseline,1785873244.249799,178.91
c0_mission_baseline,1785873244.431745,181.95
c0_mission_baseline,1785873244.833830,402.08
c0_mission_baseline,1785873245.063432,229.60
c0_mission_baseline,1785873245.276832,213.40
c0_mission_baseline,1785873245.483030,206.20
c0_mission_baseline,1785873246.059676,576.65
c0_mission_baseline,1785873246.482493,422.82
c0_mission_baseline,1785873246.676153,193.66
c0_mission_baseline,1785873247.265589,589.44
c0_mission_baseline,1785873247.475493,209.90
c0_mission_baseline,1785873247.677444,201.95
c0_mission_baseline,1785873248.066227,388.78
c0_mission_baseline,1785873248.430513,364.29
c0_mission_baseline,1785873248.628711,198.20
c0_mission_baseline,1785873248.783650,154.94
