time_s,raw_score_array
1.834590,"[1.0, 0.9974113702774048, 1.0, 38.61811447143555, -55.38188552856445, 1.0, 0.9870569109916687, 1.0, 2.0, 0.7709149718284607, 1.0, 9.49675178527832, -84.50325012207031, 0.9915531873703003, 0.9852889776229858, 0.8142371773719788, 3.0, 0.99500572681427, 1.0, 31.058887481689453, -62.94111251831055, 0.9915531873703003, 0.9876987338066101, 1.0]"
3.834612,"[1.0, 0.9990862011909485, 1.0, 39.23198318481445, -54.76801681518555, 1.0, 0.9954310655593872, 1.0, 2.0, 0.8488920331001282, 1.0, 16.857946395874023, -77.14205169677734, 1.0, 0.9943060278892517, 0.8145136833190918, 3.0, 0.9664134383201599, 1.0, 26.71469497680664, -67.28530883789062, 1.0, 0.9963325262069702, 1.0]"
5.834573,"[1.0, 0.9985666871070862, 1.0, 40.445865631103516, -53.554134368896484, 1.0, 0.9928334355354309, 1.0, 2.0, 0.8287014961242676, 1.0, 14.8772554397583, -79.12274169921875, 1.0, 0.9926857352256775, 0.8139179944992065, 3.0, 0.9982170462608337, 1.0, 32.29672622680664, -61.70327377319336, 1.0, 0.9910851120948792, 1.0]"
7.834650,"[1.0, 0.9974285364151001, 1.0, 42.113487243652344, -51.886512756347656, 1.0, 0.98714280128479, 1.0, 2.0, 0.8421146869659424, 1.0, 16.300798416137695, -77.69920349121094, 1.0, 0.9893719553947449, 0.8123228549957275, 3.0, 0.9898205995559692, 1.0, 29.19594383239746, -64.8040542602539, 1.0, 0.9893057346343994, 1.0]"
9.834528,"[1.0, 0.9991770386695862, 1.0, 40.133670806884766, -53.866329193115234, 1.0, 0.9958851933479309, 1.0, 2.0, 0.8331015110015869, 1.0, 15.310932159423828, -78.6890640258789, 1.0, 0.993642270565033, 0.8126373887062073, 3.0, 0.9991973638534546, 1.0, 31.016077041625977, -62.983924865722656, 1.0, 0.995986819267273, 1.0]"
11.834539,"[1.0, 0.9986817240715027, 1.0, 40.3245964050293, -53.6754035949707, 1.0, 0.9934086799621582, 1.0, 2.0, 0.8563801646232605, 1.0, 17.69668197631836, -76.3033218383789, 1.0, 0.9905645251274109, 0.8130043745040894, 3.0, 0.9981256723403931, 1.0, 32.448028564453125, -61.551971435546875, 1.0, 0.9906284809112549, 1.0]"
13.834543,"[1.0, 0.9989024996757507, 1.0, 40.15811538696289, -53.84188461303711, 1.0, 0.9945125579833984, 1.0, 2.0, 0.6894270181655884, 0.0, 0.900574803352356, -93.09942626953125, 1.0, 0.9955775141716003, 0.8130576610565186, 3.0, 0.9989243745803833, 1.0, 34.0723991394043, -59.9276008605957, 1.0, 0.994621992111206, 1.0]"
15.834559,"[1.0, 0.9980589151382446, 1.0, 39.10425567626953, -54.89574432373047, 1.0, 0.9902945756912231, 1.0, 2.0, 0.847110390663147, 1.0, 16.787609100341797, -77.21239471435547, 1.0, 0.9892185926437378, 0.813905656337738, 3.0, 0.9803463220596313, 1.0, 28.37971305847168, -65.62028503417969, 1.0, 0.9827458262443542, 1.0]"
17.834840,"[1.0, 0.9979989528656006, 1.0, 43.097408294677734, -50.902591705322266, 1.0, 0.9899946451187134, 1.0, 2.0, 0.8710242509841919, 1.0, 19.151592254638672, -74.84840393066406, 1.0, 0.9901514649391174, 0.8147801756858826, 3.0, 0.9983232617378235, 1.0, 32.98938751220703, -61.01061248779297, 1.0, 0.991616427898407, 1.0]"
19.834571,"[1.0, 0.997927725315094, 1.0, 38.77328872680664, -55.22671127319336, 1.0, 0.9896385669708252, 1.0, 2.0, 0.8082219958305359, 1.0, 12.869004249572754, -81.13099670410156, 1.0, 0.9903803467750549, 0.8145586252212524, 3.0, 0.9714967012405396, 1.0, 27.498470306396484, -66.50153350830078, 1.0, 0.9825599193572998, 1.0]"
