time_s,metric,source,destination,value
2.587766,obstacle_loss_db,0,3,0.0
2.587766,obstacle_loss_db,1,2,0.0
2.587766,obstacle_loss_db,1,3,0.0
2.587766,obstacle_loss_db,2,3,0.0
2.684832,obstacle_loss_db,0,1,0.0
2.684832,obstacle_loss_db,0,2,16.6807861328125
2.684832,obstacle_loss_db,0,3,0.0
2.684832,obstacle_loss_db,1,2,0.0
2.684832,obstacle_loss_db,1,3,0.0
2.684832,obstacle_loss_db,2,3,0.0
2.787782,obstacle_loss_db,0,1,0.0
2.787782,obstacle_loss_db,0,2,16.682323455810547
2.787782,obstacle_loss_db,0,3,0.0
2.787782,obstacle_loss_db,1,2,0.0
2.787782,obstacle_loss_db,1,3,0.0
2.787782,obstacle_loss_db,2,3,0.0
2.799437,rssi_dbm,0,1,-53.4518928527832
2.799437,rssi_dbm,0,2,-76.517333984375
2.799437,rssi_dbm,0,3,-59.9984245300293
2.799437,rssi_dbm,1,2,-56.74115753173828
2.799437,rssi_dbm,1,3,-58.267398834228516
2.799437,rssi_dbm,2,3,-57.89208221435547
2.799450,snr_db,0,1,40.5481071472168
2.799450,snr_db,0,2,17.482662200927734
2.799450,snr_db,0,3,34.0015754699707
2.799450,snr_db,1,2,37.25884246826172
2.799450,snr_db,1,3,35.732601165771484
2.799450,snr_db,2,3,36.10791778564453
2.884071,obstacle_loss_db,0,1,0.0
2.884071,obstacle_loss_db,0,2,16.682472229003906
2.884071,obstacle_loss_db,0,3,0.0
2.884071,obstacle_loss_db,1,2,0.0
2.884071,obstacle_loss_db,1,3,0.0
2.884071,obstacle_loss_db,2,3,0.0
2.987751,obstacle_loss_db,0,1,0.0
2.987751,obstacle_loss_db,0,2,16.679216384887695
2.987751,obstacle_loss_db,0,3,0.0
2.987751,obstacle_loss_db,1,2,0.0
2.987751,obstacle_loss_db,1,3,0.0
2.987751,obstacle_loss_db,2,3,0.0
3.084296,obstacle_loss_db,0,1,0.0
3.084296,obstacle_loss_db,0,2,16.679744720458984
3.084296,obstacle_loss_db,0,3,0.0
3.084296,obstacle_loss_db,1,2,0.0
3.084296,obstacle_loss_db,1,3,0.0
3.084296,obstacle_loss_db,2,3,0.0
3.188240,obstacle_loss_db,0,1,0.0
3.188240,obstacle_loss_db,0,2,16.68109130859375
3.188240,obstacle_loss_db,0,3,0.0
3.188240,obstacle_loss_db,1,2,0.0
3.188240,obstacle_loss_db,1,3,0.0
3.188240,obstacle_loss_db,2,3,0.0
3.284330,obstacle_loss_db,0,1,0.0
3.284330,obstacle_loss_db,0,2,16.681299209594727
3.284330,obstacle_loss_db,0,3,0.0
3.284330,obstacle_loss_db,1,2,0.0
3.284330,obstacle_loss_db,1,3,0.0
3.284330,obstacle_loss_db,2,3,0.0
3.299375,rssi_dbm,0,1,-51.803504943847656
3.299375,rssi_dbm,0,2,-78.71511840820312
3.299375,rssi_dbm,0,3,-61.67128372192383
3.299375,rssi_dbm,1,2,-53.44532775878906
3.299375,rssi_dbm,1,3,-59.24074172973633
3.299375,rssi_dbm,2,3,-59.28532028198242
3.299386,snr_db,0,1,42.196495056152344
3.299386,snr_db,0,2,15.284878730773926
3.299386,snr_db,0,3,32.32871627807617
3.299386,snr_db,1,2,40.55467224121094
3.299386,snr_db,1,3,34.75925827026367
3.299386,snr_db,2,3,34.71467971801758
3.387723,obstacle_loss_db,0,1,0.0
3.387723,obstacle_loss_db,0,2,16.6834774017334
3.387723,obstacle_loss_db,0,3,0.0
3.387723,obstacle_loss_db,1,2,0.0
3.387723,obstacle_loss_db,1,3,0.0
3.387723,obstacle_loss_db,2,3,0.0
3.483816,obstacle_loss_db,0,1,0.0
3.483816,obstacle_loss_db,0,2,16.6859188079834
3.483816,obstacle_loss_db,0,3,0.0
3.483816,obstacle_loss_db,1,2,0.0
3.483816,obstacle_loss_db,1,3,0.0
3.483816,obstacle_loss_db,2,3,0.0
3.587532,obstacle_loss_db,0,1,0.0
3.587532,obstacle_loss_db,0,2,16.686378479003906
3.587532,obstacle_loss_db,0,3,0.0
3.587532,obstacle_loss_db,1,2,0.0
3.587532,obstacle_loss_db,1,3,0.0
3.587532,obstacle_loss_db,2,3,0.0
3.683944,obstacle_loss_db,0,1,0.0
3.683944,obstacle_loss_db,0,2,16.689842224121094
3.683944,obstacle_loss_db,0,3,0.0
3.683944,obstacle_loss_db,1,2,0.0
3.683944,obstacle_loss_db,1,3,0.0
3.683944,obstacle_loss_db,2,3,0.0
3.787738,obstacle_loss_db,0,1,0.0
3.787738,obstacle_loss_db,0,2,16.693769454956055
3.787738,obstacle_loss_db,0,3,0.0
3.787738,obstacle_loss_db,1,2,0.0
3.787738,obstacle_loss_db,1,3,0.0
3.787738,obstacle_loss_db,2,3,0.0
3.799395,rssi_dbm,0,1,-54.76801681518555
3.799395,rssi_dbm,0,2,-77.14205169677734
3.799395,rssi_dbm,0,3,-67.28530883789062
3.799395,rssi_dbm,1,2,-60.014244079589844
3.799395,rssi_dbm,1,3,-57.366329193115234
3.799395,rssi_dbm,2,3,-60.336788177490234
3.799407,snr_db,0,1,39.23198318481445
3.799407,snr_db,0,2,16.857946395874023
3.799407,snr_db,0,3,26.71469497680664
3.799407,snr_db,1,2,33.985755920410156
3.799407,snr_db,1,3,36.633670806884766
3.799407,snr_db,2,3,33.663211822509766
3.884095,obstacle_loss_db,0,1,0.0
3.884095,obstacle_loss_db,0,2,16.694446563720703
3.884095,obstacle_loss_db,0,3,0.0
3.884095,obstacle_loss_db,1,2,0.0
3.884095,obstacle_loss_db,1,3,0.0
3.884095,obstacle_loss_db,2,3,0.0
3.987501,obstacle_loss_db,0,1,0.0
3.987501,obstacle_loss_db,0,2,16.696916580200195
3.987501,obstacle_loss_db,0,3,0.0
3.987501,obstacle_loss_db,1,2,0.0
3.987501,obstacle_loss_db,1,3,0.0
3.987501,obstacle_loss_db,2,3,0.0
4.083966,obstacle_loss_db,0,1,0.0
4.083966,obstacle_loss_db,0,2,16.69590950012207
4.083966,obstacle_loss_db,0,3,0.0
4.083966,obstacle_loss_db,1,2,0.0
4.083966,obstacle_loss_db,1,3,0.0
4.083966,obstacle_loss_db,2,3,0.0
4.187621,obstacle_loss_db,0,1,0.0
4.187621,obstacle_loss_db,0,2,16.695255279541016
4.187621,obstacle_loss_db,0,3,0.0
4.187621,obstacle_loss_db,1,2,0.0
4.187621,obstacle_loss_db,1,3,0.0
4.187621,obstacle_loss_db,2,3,0.0
4.283928,obstacle_loss_db,0,1,0.0
4.283928,obstacle_loss_db,0,2,16.696430206298828
4.283928,obstacle_loss_db,0,3,0.0
4.283928,obstacle_loss_db,1,2,0.0
