time_s,node_id,x_m,y_m,z_m
1.500115,3,-54.105770111083984,-24.862991333007812,49.86302947998047
1.600303,0,-70.0,-7.0,2.9000000953674316
1.600303,1,-61.400413513183594,-20.745317459106445,59.9583625793457
1.600303,2,-61.23191452026367,-24.147083282470703,40.02964782714844
1.600303,3,-53.22272872924805,-25.287342071533203,49.86262893676758
1.699929,0,-70.0,-7.0,2.9000000953674316
1.699929,1,-60.6920051574707,-20.649049758911133,59.95681381225586
1.699929,2,-60.5557746887207,-23.939699172973633,40.02995300292969
1.699929,3,-52.317378997802734,-25.72381019592285,49.864200592041016
1.800037,0,-70.0,-7.0,2.9000000953674316
1.800037,1,-59.96174621582031,-20.545812606811523,59.955596923828125
1.800037,2,-59.85492706298828,-23.72957420349121,40.02984619140625
1.800037,3,-51.39662551879883,-26.17198371887207,49.86801528930664
1.899868,0,-70.0,-7.0,2.9000000953674316
1.899868,1,-59.210269927978516,-20.43778419494629,59.95200729370117
1.899868,2,-59.132911682128906,-23.510711669921875,40.028160095214844
1.899868,3,-50.46535110473633,-26.62989044189453,49.87506103515625
2.000053,0,-70.0,-7.0,2.9000000953674316
2.000053,1,-58.43788146972656,-20.32798957824707,59.94905090332031
2.000053,2,-58.38740921020508,-23.28300666809082,40.025455474853516
2.000053,3,-49.52695083618164,-27.093952178955078,49.884666442871094
2.101497,0,-70.0,-7.0,2.9000000953674316
2.101497,1,-57.64358901977539,-20.20882225036621,59.94932556152344
2.101497,2,-57.61517333984375,-23.04943084716797,40.02471923828125
2.101497,3,-48.58420944213867,-27.558862686157227,49.89702224731445
2.199948,0,-70.0,-7.0,2.9000000953674316
2.199948,1,-57.23799133300781,-20.149389266967773,59.950416564941406
2.199948,2,-57.2203369140625,-22.92873764038086,40.02476119995117
2.199948,3,-48.11222839355469,-27.791746139526367,49.90327453613281
2.300039,0,-70.0,-7.0,2.9000000953674316
2.300039,1,-56.41078186035156,-20.0241756439209,59.952491760253906
2.300039,2,-56.41065979003906,-22.681577682495117,40.02302169799805
2.300039,3,-47.174434661865234,-28.261455535888672,49.91598129272461
2.400056,0,-70.0,-7.0,2.9000000953674316
2.400056,1,-55.561195373535156,-19.898540496826172,59.95530319213867
2.400056,2,-55.57491683959961,-22.426393508911133,40.02085494995117
2.400056,3,-46.24059295654297,-28.729618072509766,49.929019927978516
2.499968,0,-70.0,-7.0,2.9000000953674316
2.499968,1,-54.68885803222656,-19.76630210876465,59.95732498168945
2.499968,2,-54.71237564086914,-22.158506393432617,40.018943786621094
2.499968,3,-45.31084442138672,-29.192594528198242,49.94070053100586
2.600091,0,-70.0,-7.0,2.9000000953674316
2.600091,1,-53.7918701171875,-19.63235855102539,59.959171295166016
2.600091,2,-53.8222770690918,-21.88245391845703,40.017189025878906
2.600091,3,-44.386680603027344,-29.656566619873047,49.948570251464844
2.699967,0,-70.0,-7.0,2.9000000953674316
2.699967,1,-52.8687858581543,-19.49202537536621,59.9610710144043
2.699967,2,-52.9025993347168,-21.597551345825195,40.015419006347656
2.699967,3,-43.470001220703125,-30.122167587280273,49.95386505126953
2.800188,0,-70.0,-7.0,2.9000000953674316
2.800188,1,-51.91879653930664,-19.349706649780273,59.96232604980469
2.800188,2,-51.957218170166016,-21.300310134887695,40.0162239074707
2.800188,3,-42.55986785888672,-30.58730125427246,49.959354400634766
2.899975,0,-70.0,-7.0,2.9000000953674316
2.899975,1,-50.94499588012695,-19.20183753967285,59.96495819091797
2.899975,2,-50.988975524902344,-20.996320724487305,40.020015716552734
2.899975,3,-41.65446090698242,-31.04964828491211,49.9622917175293
2.999854,0,-70.0,-7.0,2.9000000953674316
2.999854,1,-49.95124435424805,-19.053512573242188,59.9696159362793
2.999854,2,-50.003753662109375,-20.687089920043945,40.02680969238281
2.999854,3,-40.752864837646484,-31.508256912231445,49.963741302490234
3.099787,0,-70.0,-7.0,2.9000000953674316
3.099787,1,-48.94367599487305,-18.900381088256836,59.977882385253906
3.099787,2,-49.0074348449707,-20.36959457397461,40.03669738769531
3.099787,3,-39.853248596191406,-31.96532440185547,49.96220016479492
3.199915,0,-70.0,-7.0,2.9000000953674316
3.199915,1,-47.92612838745117,-18.752222061157227,59.98831558227539
3.199915,2,-48.00282669067383,-20.0537052154541,40.05046463012695
3.199915,3,-38.958797454833984,-32.42274856567383,49.9588623046875
3.300116,0,-70.0,-7.0,2.9000000953674316
3.300116,1,-46.9040412902832,-18.60210418701172,60.00016784667969
3.300116,2,-46.99525833129883,-19.739431381225586,40.064998626708984
