Linux 5.15.0-186-generic (lenovo) 	08/27/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:49 PM  1002     75454    3.00    1.00    0.00    0.00    4.00     0   3314.00      0.00 1872036  175100   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:50 PM  1002     75308   50.00    2.00    0.00    0.00   52.00     8  12941.00      0.00 9208196  835932   2.57  python3
07:17:50 PM  1002     75454    3.00    2.00    0.00    0.00    5.00    10   1995.00      0.00 1872036  175100   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:51 PM  1002     75308   42.00    1.00    0.00    0.00   43.00     8  15970.00      0.00 9208196  835992   2.57  python3
07:17:51 PM  1002     75454    2.00    2.00    0.00    0.00    4.00     2   1995.00      0.00 1872036  175100   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:52 PM  1002     75308   38.00    2.00    0.00    0.00   40.00    10  15204.00      0.00 9228596  856204   2.64  python3
07:17:52 PM  1002     75454    3.00    1.00    0.00    0.00    4.00     2    676.00      0.00 1866468  170088   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:53 PM  1002     75308   35.00    4.00    0.00    0.00   39.00     8   7873.00      0.00 9201056  828640   2.55  python3
07:17:53 PM  1002     75454    1.00    3.00    0.00    0.00    4.00     6   3315.00      0.00 1872036  175104   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:54 PM  1002     75308   31.00    9.00    0.00    0.00   40.00    10  17754.00      0.00 9198356  826068   2.54  python3
